state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,20/02/2020,5000,5500,5250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,22/02/2020,3000,5000,4000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,23/02/2020,4000,4500,4250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,25/02/2020,3500,4500,4000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,26/02/2020,4500,5000,4750
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,27/02/2020,3000,3500,3250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,28/02/2020,3200,3600,3400
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,01/03/2020,2700,3000,2850
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,03/03/2020,2500,3000,2750
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,04/03/2020,2600,3000,2800
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,05/03/2020,3000,3500,3250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,06/03/2020,3000,5000,4000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,07/03/2020,3200,3600,3400
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,09/03/2020,3200,3400,3300
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,12/03/2020,3000,3500,3250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,13/03/2020,3000,3500,3250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,14/03/2020,3000,3500,3250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,15/03/2020,3200,3600,3400
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,17/03/2020,3000,3500,3250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,18/03/2020,3200,3600,3400
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,19/03/2020,2500,3000,2750
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,20/03/2020,2600,3000,2800
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,21/03/2020,2800,3000,2900
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,24/03/2020,2000,2500,2250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,25/03/2020,2000,2200,2100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,26/03/2020,2500,3500,3000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,27/03/2020,2600,3000,2800
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,28/03/2020,1500,2500,2000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,29/03/2020,1300,1500,1400
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,31/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,01/04/2020,1200,1300,1250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,02/04/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,03/04/2020,800,1200,1000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,04/04/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,05/04/2020,1000,1500,1250
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,07/04/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,08/04/2020,800,1200,1000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,09/04/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,10/04/2020,800,1200,1000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,11/04/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,12/04/2020,800,1200,1000
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,14/04/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Bhindi(Ladies Finger),Bhindi,15/04/2020,1000,1500,1250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,20/02/2020,2000,2500,2300
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,21/02/2020,2000,2500,2400
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,22/02/2020,1500,2000,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,24/02/2020,2500,3000,2750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,25/02/2020,3000,3500,3400
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,26/02/2020,3000,3500,3300
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,27/02/2020,3000,3500,3300
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,28/02/2020,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,29/02/2020,2000,2500,2300
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,02/03/2020,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,03/03/2020,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,04/03/2020,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,05/03/2020,2250,2500,2300
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,06/03/2020,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,09/03/2020,2500,3000,2800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,11/03/2020,3000,3500,3400
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Bhindi(Ladies Finger),Bhindi,12/03/2020,2500,3000,2800
