state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Durg,Durg,Brinjal,Other,20/02/2020,800,1000,900
Chattisgarh,Durg,Durg,Brinjal,Other,22/02/2020,600,1000,800
Chattisgarh,Durg,Durg,Brinjal,Other,23/02/2020,2000,2200,2100
Chattisgarh,Durg,Durg,Brinjal,Other,25/02/2020,1800,2200,2000
Chattisgarh,Durg,Durg,Brinjal,Other,26/02/2020,2000,2100,2050
Chattisgarh,Durg,Durg,Brinjal,Other,27/02/2020,1400,1500,1450
Chattisgarh,Durg,Durg,Brinjal,Other,28/02/2020,1300,1500,1400
Chattisgarh,Durg,Durg,Brinjal,Other,29/02/2020,1300,1400,1350
Chattisgarh,Durg,Durg,Brinjal,Other,01/03/2020,1200,1400,1300
Chattisgarh,Durg,Durg,Brinjal,Other,03/03/2020,1000,1400,1200
Chattisgarh,Durg,Durg,Brinjal,Other,04/03/2020,1200,1400,1300
Chattisgarh,Durg,Durg,Brinjal,Other,05/03/2020,1000,1400,1200
Chattisgarh,Durg,Durg,Brinjal,Other,06/03/2020,1200,1300,1250
Chattisgarh,Durg,Durg,Brinjal,Other,07/03/2020,1200,1300,1250
Chattisgarh,Durg,Durg,Brinjal,Other,09/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Brinjal,Other,12/03/2020,800,1200,1000
Chattisgarh,Durg,Durg,Brinjal,Other,13/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Brinjal,Other,14/03/2020,800,1200,1000
Chattisgarh,Durg,Durg,Brinjal,Other,15/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Brinjal,Other,17/03/2020,800,1000,900
Chattisgarh,Durg,Durg,Brinjal,Other,18/03/2020,600,1000,800
Chattisgarh,Durg,Durg,Brinjal,Other,19/03/2020,300,400,350
Chattisgarh,Durg,Durg,Brinjal,Other,20/03/2020,400,500,450
Chattisgarh,Durg,Durg,Brinjal,Other,21/03/2020,300,500,400
Chattisgarh,Durg,Durg,Brinjal,Other,24/03/2020,400,500,450
Chattisgarh,Durg,Durg,Brinjal,Other,25/03/2020,500,700,600
Chattisgarh,Durg,Durg,Brinjal,Other,26/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Brinjal,Other,27/03/2020,800,1200,1000
Chattisgarh,Durg,Durg,Brinjal,Other,28/03/2020,800,1000,900
Chattisgarh,Durg,Durg,Brinjal,Other,29/03/2020,500,600,550
Chattisgarh,Durg,Durg,Brinjal,Other,31/03/2020,300,400,350
Chattisgarh,Durg,Durg,Brinjal,Other,01/04/2020,300,400,350
Chattisgarh,Durg,Durg,Brinjal,Other,02/04/2020,300,500,400
Chattisgarh,Durg,Durg,Brinjal,Other,03/04/2020,400,500,450
Chattisgarh,Durg,Durg,Brinjal,Other,04/04/2020,200,300,250
Chattisgarh,Durg,Durg,Brinjal,Other,05/04/2020,300,400,350
Chattisgarh,Durg,Durg,Brinjal,Other,07/04/2020,400,500,450
Chattisgarh,Durg,Durg,Brinjal,Other,08/04/2020,300,500,400
Chattisgarh,Durg,Durg,Brinjal,Other,09/04/2020,400,500,450
Chattisgarh,Durg,Durg,Brinjal,Other,10/04/2020,300,500,400
Chattisgarh,Durg,Durg,Brinjal,Other,11/04/2020,400,500,450
Chattisgarh,Durg,Durg,Brinjal,Other,12/04/2020,200,600,400
Chattisgarh,Durg,Durg,Brinjal,Other,14/04/2020,600,700,650
Chattisgarh,Durg,Durg,Brinjal,Other,15/04/2020,500,700,600
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,20/02/2020,400,500,450
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,21/02/2020,400,500,450
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,22/02/2020,300,400,350
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,24/02/2020,400,500,450
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,25/02/2020,300,400,350
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,26/02/2020,300,400,350
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,27/02/2020,400,500,450
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,28/02/2020,250,500,350
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Brinjal,Brinjal,29/02/2020,400,500,450
