State,Wk1(feb 20-26),Wk2(feb 27-4march),Wk3(march 5 - 11),Wk4(mar12-18),Wk5(mar19-25),Wk6(mar26-1april),wk7 (april 2-8),Wk8 (april 9-15)
Chattisgarh,2300,2066.666667,2100,2250,2340,2000,2850,2933.333333
Gujarat,2150,2300,2300,2350,2600,2200,3050,3133.333333
Haryana,3216.666667,2100,1900,2016.666667,2137.5,1866.666667,2208.333333,2500
Himachal Pradesh,2500,2420,2440,2300,1966.666667,1800,1464.285714,1160
Jharkhand,700,1433.333333,1400,1500,1133.333333,1250,1387.5,1700
Karnataka,983.3333333,800,760,830,916.6666667,1166.666667,1628.571429,1271.428571
Kerala,2528.571429,2140,2242.857143,2442.857143,2185.714286,3225,3028.571429,3150
Madhya Pradesh,1315.714286,1379.333333,1533.166667,1308.666667,1495.5,1886.142857,1882.428571,1860.285714
Odisha,2200,1750,1190,1008.333333,1030,1214.285714,1257.142857,1164.285714
Punjab,1366.666667,1220,1333.333333,1383.333333,1350,1460,1240,1166.666667
Rajasthan,1420,1507.142857,1425,1433.333333,1300,1071.428571,975,1100
Tripura,2142.857143,1725,1814.285714,1742.857143,1650,2021.428571,2292.857143,2328.571429
Uttar Pradesh,1268.333333,1426.666667,1362.5,1388.333333,1240,1341.666667,933.3333333,850
Uttrakhand,750,733.3333333,730,720,800,766.6666667,733.3333333,800
West Bengal,2750,1850,975,775,700,1100,1000,1400
