State,Wk1(feb 20-26),Wk2(feb 27-4march),Wk3(march 5 - 11),Wk4(mar12-18),Wk5(mar19-25),Wk6(mar26-1april),wk7 (april 2-8),Wk8 (april 9-15)
Chattisgarh,740,620,487.5,500,470,575,408.3333333,408.3333333
Gujarat,340,333.3333333,366.6666667,400,450,628.5714286,433.3333333,435.7142857
Haryana,694,700,833.3333333,700,660,637.5,616.6666667,566.6666667
Himachal Pradesh,1160,1125,1000,1070,1050,1500,1200,1016.666667
Jharkhand,,,,,,,,
Karnataka,433.3333333,458.3333333,400,391.6666667,520,860,557.1428571,442.8571429
Kerala,1866.666667,1733.333333,1720,1760,2000,2566.666667,2066.666667,1600
Madhya Pradesh,1425.714286,1659.333333,1516.333333,1687.5,1709.333333,1523.571429,1674.142857,1715.571429
Odisha,1800,1366.666667,1428.571429,1650,1542.857143,1442.857143,1557.142857,1528.571429
Punjab,716.6666667,833.3333333,1183.333333,1000,1000,1533.333333,925,920
Rajasthan,550,671.4285714,780,775,650,,,620
Tripura,1257.142857,1057.142857,928.5714286,914.2857143,720,1266.666667,850,1500
Uttar Pradesh,851.6666667,825,812.5,883.3333333,837.5,908.3333333,861.6666667,850
Uttrakhand,,,,,,,,
West Bengal,664.2857143,485.7142857,435.7142857,428.5714286,790,700,542.8571429,608.5714286
