state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Durg,Durg,Cabbage,Other,20/02/2020,600,1000,800
Chattisgarh,Durg,Durg,Cabbage,Other,22/02/2020,800,1000,900
Chattisgarh,Durg,Durg,Cabbage,Other,23/02/2020,600,700,650
Chattisgarh,Durg,Durg,Cabbage,Other,25/02/2020,500,700,600
Chattisgarh,Durg,Durg,Cabbage,Other,26/02/2020,700,800,750
Chattisgarh,Durg,Durg,Cabbage,Other,27/02/2020,600,700,650
Chattisgarh,Durg,Durg,Cabbage,Other,28/02/2020,500,700,600
Chattisgarh,Durg,Durg,Cabbage,Other,01/03/2020,500,700,600
Chattisgarh,Durg,Durg,Cabbage,Other,03/03/2020,600,700,650
Chattisgarh,Durg,Durg,Cabbage,Other,04/03/2020,500,700,600
Chattisgarh,Durg,Durg,Cabbage,Other,05/03/2020,600,700,650
Chattisgarh,Durg,Durg,Cabbage,Other,06/03/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,07/03/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,09/03/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,12/03/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,13/03/2020,500,600,550
Chattisgarh,Durg,Durg,Cabbage,Other,14/03/2020,400,600,500
Chattisgarh,Durg,Durg,Cabbage,Other,15/03/2020,500,600,550
Chattisgarh,Durg,Durg,Cabbage,Other,17/03/2020,400,600,500
Chattisgarh,Durg,Durg,Cabbage,Other,18/03/2020,400,600,500
Chattisgarh,Durg,Durg,Cabbage,Other,19/03/2020,300,400,350
Chattisgarh,Durg,Durg,Cabbage,Other,20/03/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,21/03/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,24/03/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,25/03/2020,500,1000,750
Chattisgarh,Durg,Durg,Cabbage,Other,26/03/2020,700,800,750
Chattisgarh,Durg,Durg,Cabbage,Other,27/03/2020,700,1000,850
Chattisgarh,Durg,Durg,Cabbage,Other,28/03/2020,600,800,700
Chattisgarh,Durg,Durg,Cabbage,Other,29/03/2020,300,400,350
Chattisgarh,Durg,Durg,Cabbage,Other,31/03/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,01/04/2020,300,400,350
Chattisgarh,Durg,Durg,Cabbage,Other,02/04/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,03/04/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,04/04/2020,300,400,350
Chattisgarh,Durg,Durg,Cabbage,Other,05/04/2020,200,600,400
Chattisgarh,Durg,Durg,Cabbage,Other,07/04/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,08/04/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,09/04/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,10/04/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,11/04/2020,400,500,450
Chattisgarh,Durg,Durg,Cabbage,Other,12/04/2020,300,500,400
Chattisgarh,Durg,Durg,Cabbage,Other,14/04/2020,300,400,350
Chattisgarh,Durg,Durg,Cabbage,Other,15/04/2020,200,600,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,20/02/2020,150,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,22/02/2020,200,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,23/02/2020,200,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,24/02/2020,200,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,25/02/2020,100,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,26/02/2020,150,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,27/02/2020,200,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,28/02/2020,100,500,200
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,29/02/2020,150,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,01/03/2020,300,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,03/03/2020,200,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,04/03/2020,200,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,05/03/2020,200,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,06/03/2020,200,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,07/03/2020,200,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,08/03/2020,200,500,300
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,09/03/2020,200,500,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,11/03/2020,300,600,400
Gujarat,Dahod,Dahod(Veg. Market),Cabbage,Cabbage,12/03/2020,300,500,400
