state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Durg,Durg,Cauliflower,Other,20/02/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Cauliflower,Other,22/02/2020,800,1200,1000
Chattisgarh,Durg,Durg,Cauliflower,Other,23/02/2020,1000,1100,1050
Chattisgarh,Durg,Durg,Cauliflower,Other,25/02/2020,800,1000,900
Chattisgarh,Durg,Durg,Cauliflower,Other,26/02/2020,900,1000,950
Chattisgarh,Durg,Durg,Cauliflower,Other,27/02/2020,700,800,750
Chattisgarh,Durg,Durg,Cauliflower,Other,28/02/2020,600,800,700
Chattisgarh,Durg,Durg,Cauliflower,Other,29/02/2020,700,800,750
Chattisgarh,Durg,Durg,Cauliflower,Other,01/03/2020,700,800,750
Chattisgarh,Durg,Durg,Cauliflower,Other,03/03/2020,600,800,700
Chattisgarh,Durg,Durg,Cauliflower,Other,04/03/2020,700,800,750
Chattisgarh,Durg,Durg,Cauliflower,Other,05/03/2020,600,800,700
Chattisgarh,Durg,Durg,Cauliflower,Other,06/03/2020,1000,1100,1050
Chattisgarh,Durg,Durg,Cauliflower,Other,07/03/2020,800,1000,900
Chattisgarh,Durg,Durg,Cauliflower,Other,09/03/2020,600,1000,800
Chattisgarh,Durg,Durg,Cauliflower,Other,12/03/2020,800,1000,900
Chattisgarh,Durg,Durg,Cauliflower,Other,13/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Cauliflower,Other,15/03/2020,600,1000,800
Chattisgarh,Durg,Durg,Cauliflower,Other,17/03/2020,700,1000,850
Chattisgarh,Durg,Durg,Cauliflower,Other,18/03/2020,800,1000,900
Chattisgarh,Durg,Durg,Cauliflower,Other,19/03/2020,1000,1100,1050
Chattisgarh,Durg,Durg,Cauliflower,Other,20/03/2020,800,1200,1000
Chattisgarh,Durg,Durg,Cauliflower,Other,21/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Cauliflower,Other,24/03/2020,800,1200,1000
Chattisgarh,Durg,Durg,Cauliflower,Other,25/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Cauliflower,Other,29/03/2020,1000,1200,1100
Chattisgarh,Durg,Durg,Cauliflower,Other,01/04/2020,2000,2200,2100
Chattisgarh,Durg,Durg,Cauliflower,Other,02/04/2020,1500,2000,1750
Chattisgarh,Durg,Durg,Cauliflower,Other,03/04/2020,1600,2000,1800
Chattisgarh,Durg,Durg,Cauliflower,Other,04/04/2020,2000,2200,2100
Chattisgarh,Durg,Durg,Cauliflower,Other,05/04/2020,1800,2000,1900
Chattisgarh,Durg,Durg,Cauliflower,Other,07/04/2020,1800,2000,1900
Chattisgarh,Durg,Durg,Cauliflower,Other,08/04/2020,1600,2000,1800
Chattisgarh,Durg,Durg,Cauliflower,Other,09/04/2020,1800,2000,1900
Chattisgarh,Durg,Durg,Cauliflower,Other,10/04/2020,1600,2000,1800
Chattisgarh,Durg,Durg,Cauliflower,Other,11/04/2020,1800,2000,1900
Chattisgarh,Durg,Durg,Cauliflower,Other,12/04/2020,1600,2000,1800
Chattisgarh,Durg,Durg,Cauliflower,Other,14/04/2020,2000,2500,2250
Chattisgarh,Durg,Durg,Cauliflower,Other,15/04/2020,2000,2500,2250
Gujarat,Surat,Vyra,Cauliflower,Other,20/02/2020,400,600,500
Gujarat,Surat,Vyra,Cauliflower,Other,21/02/2020,350,500,425
Gujarat,Surat,Vyra,Cauliflower,Other,22/02/2020,500,800,650
Gujarat,Surat,Vyra,Cauliflower,Other,24/02/2020,500,900,700
Gujarat,Surat,Vyra,Cauliflower,Other,25/02/2020,250,800,650
Gujarat,Surat,Vyra,Cauliflower,Other,26/02/2020,500,800,650
Gujarat,Surat,Vyra,Cauliflower,Other,28/02/2020,600,800,700
Gujarat,Surat,Vyra,Cauliflower,Other,29/02/2020,500,700,600
Gujarat,Surat,Vyra,Cauliflower,Other,04/03/2020,300,800,550
Gujarat,Surat,Vyra,Cauliflower,Other,05/03/2020,200,400,300
