state,Onion_price,Tomato_price,Potato Price,Cabbage_price,Bhindi_price,Cauliflower_price,Brinjal_Price,Y,Date
Chattisgarh,2400,600,1400,800,5250,1100,900,0,20/02/2020
Chattisgarh,2500,550,1200,900,4000,1000,800,0,21/02/2020
Chattisgarh,3000,650,1300,650,4250,1050,2100,0,22/02/2020
Chattisgarh,2500,650,1700,600,4000,900,2000,0,26/02/2020
Chattisgarh,2600,550,1700,750,4750,950,2050,0,27/02/2020
Chattisgarh,2200,300,1600,650,3250,750,1450,0,28/02/2020
Chattisgarh,2200,600,1600,600,3400,700,1400,0,29/02/2020
Chattisgarh,2500,550,1600,600,2850,750,1350,0,01/03/2020
Chattisgarh,2500,450,1500,650,2750,750,1300,0,03/03/2020
Chattisgarh,2200,350,1600,600,2800,700,1200,0,04/03/2020
Chattisgarh,2200,350,1600,650,3250,750,1300,0,05/03/2020
Chattisgarh,2200,350,1600,450,4000,700,1200,0,06/03/2020
Chattisgarh,2000,350,1600,400,3400,1050,1250,0,07/03/2020
Chattisgarh,2000,250,1600,450,3300,900,1250,0,11/03/2020
Chattisgarh,2200,250,1600,400,3250,800,1100,0,12/03/2020
Chattisgarh,2200,250,1600,550,3250,900,1000,0,13/03/2020
Chattisgarh,2200,250,1600,500,3250,1100,1100,0,14/03/2020
Chattisgarh,2200,250,1600,550,3400,800,1000,0,15/03/2020
Chattisgarh,2200,500,1600,500,3250,850,1100,0,17/03/2020
Chattisgarh,2200,550,1600,500,3400,900,800,0,18/03/2020
Chattisgarh,2500,550,1800,350,2750,1050,350,1,30/03/2020
Chattisgarh,2200,1000,2200,400,2800,1000,450,1,31/03/2020
Chattisgarh,2000,700,2000,450,2900,1100,400,1,01/04/2020
Chattisgarh,2000,1000,2000,400,2250,1000,450,1,02/04/2020
Chattisgarh,2000,500,2000,750,2100,1100,600,1,03/04/2020
Chattisgarh,2000,300,2000,750,3000,1100,1100,1,04/04/2020
Chattisgarh,1500,500,1500,850,2800,2100,1000,1,05/04/2020
Chattisgarh,1400,600,1800,700,2000,1750,900,1,07/04/2020
Chattisgarh,1800,700,1800,350,1400,1800,550,1,08/04/2020
Chattisgarh,1200,700,1600,450,1100,2100,350,1,09/04/2020
Chattisgarh,1200,700,1600,350,1250,1900,350,1,10/04/2020
Chattisgarh,1200,550,1800,400,1100,1900,400,1,11/04/2020
Chattisgarh,1100,700,1800,450,1000,1800,450,1,12/04/2020
Chattisgarh,1200,700,1600,350,1100,1900,250,1,14/04/2020
Gujarat,2000,450,1250,300,2300,500,450,0,20/02/2020
Gujarat,1900,600,1325,400,2400,425,350,0,21/02/2020
Gujarat,1800,600,1100,300,1800,650,450,0,22/02/2020
Gujarat,2250,500,1275,400,2750,700,350,0,24/02/2020
Gujarat,2200,450,1325,300,3400,650,350,0,25/02/2020
Gujarat,2100,350,1050,300,3300,650,450,0,26/02/2020
Gujarat,2250,450,1100,300,3300,700,350,0,27/02/2020
Gujarat,2400,400,1075,200,2800,600,450,0,28/02/2020
Gujarat,2300,500,1000,400,2300,550,300,0,29/02/2020
Gujarat,2250,450,1000,400,2800,300,350,0,02/03/2020
Gujarat,1800,350,1200,300,2800,350,300,0,03/03/2020
Gujarat,1750,350,1150,400,2800,425,250,0,04/03/2020
Gujarat,1800,325,1200,300,2300,350,300,0,05/03/2020
Gujarat,1750,600,1050,400,2800,375,350,0,06/03/2020
Gujarat,1750,450,1250,400,2800,450,550,0,09/03/2020
Gujarat,1750,550,1200,300,3400,450,300,0,11/03/2020
Gujarat,1700,450,1300,400,2800,650,300,0,12/03/2020
Gujarat,1750,450,1100,400,2800,750,300,0,13/03/2020
Gujarat,1750,400,1150,400,2800,475,300,0,14/03/2020
Gujarat,1800,400,1100,400,2800,325,450,1,19/03/2020
Gujarat,1400,600,1250,400,2800,475,550,1,20/03/2020
Gujarat,1500,800,1250,400,3300,750,800,1,21/03/2020
Gujarat,1600,900,1250,700,3300,1250,600,1,23/03/2020
Gujarat,1750,750,1600,400,2250,325,350,1,24/03/2020
Gujarat,1750,550,1400,400,1800,875,550,1,25/03/2020
Gujarat,2100,600,1100,900,2300,650,250,1,26/03/2020
Gujarat,2100,550,1200,800,1800,650,350,1,27/03/2020
Gujarat,2100,575,1200,700,1200,1125,350,1,28/03/2020
Gujarat,2100,550,1250,400,1800,625,350,1,30/03/2020
Gujarat,2000,625,1400,600,1800,1125,350,1,31/03/2020
Gujarat,1750,625,1550,400,1800,750,350,1,01/04/2020
Gujarat,1750,700,1500,600,1800,1800,300,1,02/04/2020
Gujarat,1800,650,1450,400,2200,1050,350,1,03/04/2020
Gujarat,1600,750,1550,400,2100,1150,350,1,04/04/2020
Haryana,2500,1200,1000,700,5300,1000,2000,0,20/02/2020
Haryana,2500,1200,900,700,5300,1200,2000,0,21/02/2020
Haryana,2500,1200,1000,370,5000,1200,2200,0,22/02/2020
Haryana,2500,1200,1000,800,4400,1000,1800,0,24/02/2020
Haryana,2500,1200,1000,900,5000,1200,2100,0,26/02/2020
Haryana,2500,1200,1000,900,5000,1200,1850,0,27/02/2020
Haryana,2500,1000,1000,700,5500,1000,2000,0,28/02/2020
Haryana,2500,1200,1000,500,4600,1200,2000,0,29/02/2020
Haryana,2500,1200,1150,700,4500,1200,2000,0,01/03/2020
Haryana,2500,800,1000,700,5000,1400,2000,0,02/03/2020
Haryana,2500,800,1000,700,4800,1400,2150,0,03/03/2020
Haryana,2500,800,1000,700,5000,1200,2050,0,04/03/2020
Haryana,2500,800,1000,700,4000,1200,1700,0,05/03/2020
Haryana,2500,900,1200,800,4700,1400,1800,0,06/03/2020
Haryana,2000,900,1000,1000,5000,1200,2000,0,07/03/2020
Haryana,2000,900,1000,1100,5500,1400,2100,0,09/03/2020
Haryana,2000,900,1000,900,4800,1200,2000,0,10/03/2020
Haryana,1600,900,1000,800,4800,1200,1800,0,11/03/2020
Haryana,2000,900,1000,600,4500,1400,1700,0,12/03/2020
Haryana,1900,900,1000,600,5000,1400,2000,0,13/03/2020
Haryana,2200,1200,1400,600,6000,1500,2000,0,16/03/2020
Haryana,2000,1200,1600,700,6300,1500,2000,1,27/03/2020
Haryana,2000,1200,1600,600,6800,1500,3000,1,28/03/2020
Haryana,2200,1200,1700,600,4800,800,2500,1,31/03/2020
Haryana,2200,1400,1300,700,5000,1000,2300,1,01/04/2020
Haryana,2000,1500,1300,600,6850,1500,2000,1,02/04/2020
Haryana,2000,1800,1300,500,5300,1500,2500,1,03/04/2020
Haryana,1800,1800,1300,750,5250,1500,2300,1,04/04/2020
Haryana,1800,1400,1300,600,5000,1000,1500,1,06/04/2020
Haryana,1800,1400,1300,700,5000,1000,2000,1,07/04/2020
Haryana,1600,1400,1300,600,3000,700,2000,1,08/04/2020
Haryana,1600,1800,1300,600,7800,800,2000,1,09/04/2020
Haryana,1700,1800,1300,600,7700,800,2000,1,10/04/2020
Haryana,1500,1600,1300,600,8500,1000,2100,1,11/04/2020
Haryana,1600,1500,1400,700,7000,1000,2000,1,13/04/2020
Haryana,1500,1500,1500,600,6000,1000,1500,1,14/04/2020
Haryana,1400,1500,1500,500,7300,1000,1600,1,15/04/2020
Haryana,1400,1500,1500,700,6000,1000,1500,1,16/04/2020
Haryana,1200,1500,1500,500,5500,1000,1200,1,17/04/2020
Haryana,1200,1500,1500,400,3000,1000,2200,1,18/04/2020
Himachal Pradesh,3200,1800,1200,1100,5800,1100,1800,0,20/02/2020
Himachal Pradesh,3500,1600,1100,1100,5200,800,1800,0,22/02/2020
Himachal Pradesh,3100,1500,1100,1200,5300,900,2400,0,25/02/2020
Himachal Pradesh,3200,1500,1100,1200,5800,1000,1800,0,26/02/2020
Himachal Pradesh,2900,1600,1100,1200,5100,800,2500,0,27/02/2020
Himachal Pradesh,2500,1500,1400,1000,5100,700,2200,0,04/03/2020
