State,Wk1(feb 20-26),Wk2(feb 27-4march),Wk3(march 5 - 11),Wk4(mar12-18),Wk5(mar19-25),Wk6(mar26-1april),wk7 (april 2-8),Wk8 (april 9-15)
Chattisgarh,2600,2366.666667,2100,2200,NA,2233.333333,1783.333333,1183.333333
Gujarat,2041.666667,2125,1762.5,1841.666667,1841.666667,2500,1416.666667,1240
Haryana,2500,2500,2100,1841.666667,2033.333333,2100,1833.333333,1550
Himachal Pradesh,3250,2700,2471.428571,2820,3066.666667,3400,2625,2187.5
Jharkhand,2600,2600,2625,2440,1875,2216.666667,2000,1900
Karnataka,1875,1683.333333,1483.333333,1500,1300,1466.666667,1220,866.6666667
Kerala,4240,4460,5250,5350,5533.333333,7150,6683.333333,6566.666667
Madhya Pradesh,1250.25,1356,950,1038.333333,882.8571429,730,NA,2000
Odisha,2800,2800,2750,2800,2800,NA,NA,2800
Punjab,1450,1358.333333,1290.833333,1266.666667,1400,730,1200,900
Rajasthan,1975,2228.571429,2020,1791.666667,1550,NA,1900,1521.428571
Tripura,3233.333333,2400,2357.142857,2371.428571,2316.666667,2741.666667,2320,2271.428571
Uttar Pradesh,2271.666667,2145,2112.5,2065,1862.5,1958.333333,1818.333333,1841.666667
Uttrakhand,2175,2066.666667,1930,1962.5,2320,2360,1887.5,2200
West Bengal,3316.666667,2912.5,2662.5,2620,2583.333333,2683.333333,2058.333333,1689.285714
