state,state,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,20/02/2020,2400,2400,2400
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,21/02/2020,2500,2500,2500
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,22/02/2020,3000,3000,3000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,26/02/2020,2500,2500,2500
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,27/02/2020,2500,2500,2600
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,28/02/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,29/02/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,01/03/2020,2500,2500,2500
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,03/03/2020,2500,2500,2500
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,04/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,05/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,06/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,07/03/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,11/03/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,12/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,13/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,14/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,15/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,17/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,18/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,30/03/2020,2500,2500,2500
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,31/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,01/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,02/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,03/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,04/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,05/04/2020,1500,1500,1500
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,07/04/2020,1400,1400,1400
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,08/04/2020,1800,1800,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,09/04/2020,1200,1200,1200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,10/04/2020,1200,1200,1200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,11/04/2020,1200,1200,1200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,12/04/2020,1100,1100,1100
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,14/04/2020,1200,1200,1200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,15/04/2020,1200,1200,1200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,16/04/2020,1100,1100,1100
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,17/04/2020,1200,1200,1200
Chattisgarh,Rajnandgaon,Rajnandgaon,Onion,Onion,18/04/2020,1200,1200,1200
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,20/02/2020,1500,2500,2000
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,21/02/2020,1500,2500,1900
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,22/02/2020,1500,2500,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,24/02/2020,2000,2500,2250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,25/02/2020,2000,2500,2200
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,26/02/2020,1750,2500,2100
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,27/02/2020,2000,2500,2250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,28/02/2020,1750,2500,2400
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,29/02/2020,2000,2500,2300
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,02/03/2020,2000,2500,2250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,03/03/2020,1500,2000,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,04/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,05/03/2020,1500,2100,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,06/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,09/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,11/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,12/03/2020,1500,2000,1700
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,13/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,14/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,16/03/2020,2000,2500,2250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,17/03/2020,1750,2100,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,18/03/2020,1750,2000,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,19/03/2020,1500,2000,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,20/03/2020,1250,1750,1400
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,21/03/2020,1250,1750,1500
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,23/03/2020,1250,1750,1600
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,24/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,25/03/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,26/03/2020,2000,2250,2100
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,27/03/2020,2000,2250,2100
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,28/03/2020,2000,2250,2100
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,30/03/2020,2000,2250,2100
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,31/03/2020,1800,2250,2000
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,01/04/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,02/04/2020,1500,2000,1750
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,03/04/2020,1500,2000,1800
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,04/04/2020,1500,1750,1600
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,06/04/2020,1000,1250,1200
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,07/04/2020,500,1050,900
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,08/04/2020,1000,1500,1250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,09/04/2020,1000,1500,1400
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,10/04/2020,1000,1500,1250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,13/04/2020,1000,1500,1400
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,14/04/2020,800,1100,900
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,15/04/2020,1000,1400,1250
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,16/04/2020,700,1000,900
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,17/04/2020,750,1400,1200
Gujarat,Anand,"Anand(Veg,Yard,Anand)",Onion,Onion,18/04/2020,1000,1100,1050
Haryana,Kurukshetra,Shahabad,Onion,Onion,20/02/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,21/02/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,22/02/2020,2200,2800,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,24/02/2020,2200,2800,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,26/02/2020,2100,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,27/02/2020,2100,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,28/02/2020,2200,2800,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,29/02/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,01/03/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,02/03/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,03/03/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,04/03/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,05/03/2020,2200,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,06/03/2020,1500,2700,2500
Haryana,Kurukshetra,Shahabad,Onion,Onion,07/03/2020,1500,2700,2000
Haryana,Kurukshetra,Shahabad,Onion,Onion,09/03/2020,1500,2700,2000
Haryana,Kurukshetra,Shahabad,Onion,Onion,10/03/2020,1500,2700,2000
Haryana,Kurukshetra,Shahabad,Onion,Onion,11/03/2020,1450,2700,1600
Haryana,Kurukshetra,Shahabad,Onion,Onion,12/03/2020,1450,2700,2000
Haryana,Kurukshetra,Shahabad,Onion,Onion,13/03/2020,1450,2700,1900
Haryana,Kurukshetra,Shahabad,Onion,Onion,16/03/2020,1500,2700,2200
Haryana,Kurukshetra,Shahabad,Onion,Onion,17/03/2020,1500,2700,2000
