"","city","date","parameter","value"
"1","Delhi",2020-05-05,"co",869.993961708395
"2","Delhi",2020-05-04,"co",810.114885496183
"3","Delhi",2020-05-03,"co",681.326590538336
"4","Delhi",2020-05-02,"co",-8855.94026845638
"5","Delhi",2020-05-01,"co",725.726557093426
"6","Delhi",2020-04-30,"co",826.80481540931
"7","Delhi",2020-04-29,"co",731.95475177305
"8","Delhi",2020-04-28,"co",818.748151848152
"9","Delhi",2020-04-27,"co",750.635024390244
"10","Delhi",2020-04-26,"co",712.60473970474
"11","Delhi",2020-04-25,"co",878.951674641148
"12","Delhi",2020-04-24,"co",929.204
"13","Delhi",2020-04-23,"co",905.924351145038
"14","Delhi",2020-04-22,"co",812.4796875
"15","Delhi",2020-04-21,"co",811.247793567689
"16","Delhi",2020-04-20,"co",828.783333333333
"17","Delhi",2020-04-19,"co",812.728752941176
"18","Delhi",2020-04-18,"co",616.428104265403
"19","Delhi",2020-04-17,"co",-229169.88862782
"20","Delhi",2020-04-16,"co",-3936.87729379055
"21","Delhi",2020-04-15,"co",960.504380403458
"22","Delhi",2020-04-14,"co",835.047614840989
"23","Delhi",2020-04-13,"co",802.042639372822
"24","Delhi",2020-04-12,"co",681.267575150301
"25","Delhi",2020-04-11,"co",628.999651416122
"26","Delhi",2020-04-10,"co",780.93917248791
"27","Delhi",2020-04-09,"co",686.246817599317
"28","Delhi",2020-04-08,"co",499.722941176471
"29","Delhi",2020-04-07,"co",507.750454132607
"30","Delhi",2020-04-06,"co",630.986321195145
"31","Delhi",2020-04-05,"co",791.740331222601
"32","Delhi",2020-04-04,"co",693.784805194805
"33","Delhi",2020-04-03,"co",569.443504020313
"34","Delhi",2020-04-02,"co",540.038040600176
"35","Delhi",2020-04-01,"co",558.044315545244
"36","Delhi",2020-03-31,"co",491.706192760576
"37","Delhi",2020-03-30,"co",543.005135135135
"38","Delhi",2020-03-29,"co",464.292408495255
"39","Delhi",2020-03-28,"co",572.016221033868
