"","city","date","parameter","value"
"1","Chennai",2020-05-06,"co",667.131147540984
"2","Chennai",2020-05-05,"co",745.107913669065
"3","Chennai",2020-05-04,"co",693.451327433628
"4","Chennai",2020-05-03,"co",737.659574468085
"5","Chennai",2020-05-02,"co",720.051813471503
"6","Chennai",2020-05-01,"co",711.030303030303
"7","Chennai",2020-04-30,"co",684.391534391534
"8","Chennai",2020-04-29,"co",677.961165048544
"9","Chennai",2020-04-28,"co",679.350649350649
"10","Chennai",2020-04-27,"co",754.662162162162
"11","Chennai",2020-04-26,"co",790
"12","Chennai",2020-04-25,"co",681.111111111111
"13","Chennai",2020-04-24,"co",704.857142857143
"14","Chennai",2020-04-23,"co",630.057471264368
"15","Chennai",2020-04-22,"co",550.382165605096
"16","Chennai",2020-04-21,"co",673.968253968254
"17","Chennai",2020-04-20,"co",533.003194888179
"18","Chennai",2020-04-19,"co",585.131964809384
"19","Chennai",2020-04-18,"co",638.494983277592
"20","Chennai",2020-04-17,"co",581.099290780142
"21","Chennai",2020-04-16,"co",607.87610619469
"22","Chennai",2020-04-15,"co",590.567823343849
"23","Chennai",2020-04-14,"co",574.077380952381
"24","Chennai",2020-04-13,"co",655.93023255814
"25","Chennai",2020-04-12,"co",668.092485549133
"26","Chennai",2020-04-11,"co",570.433526011561
"27","Chennai",2020-04-10,"co",568.086419753086
"28","Chennai",2020-04-09,"co",573.082706766917
"29","Chennai",2020-04-08,"co",638.648648648649
"30","Chennai",2020-04-07,"co",585.551724137931
"31","Chennai",2020-04-06,"co",604.789644012945
"32","Chennai",2020-04-05,"co",545.057803468208
"33","Chennai",2020-04-04,"co",579.173789173789
"34","Chennai",2020-04-03,"co",621.851851851852
"35","Chennai",2020-04-02,"co",621.857585139319
"36","Chennai",2020-04-01,"co",637.846153846154
"37","Chennai",2020-03-31,"co",532.852348993289
"38","Chennai",2020-03-30,"co",480.085106382979
"39","Chennai",2020-03-29,"co",558.095238095238
"40","Chennai",2020-03-28,"co",586.171003717472
"41","Chennai",2020-03-27,"co",557.713310580205
"42","Chennai",2020-03-26,"co",621.35593220339
"43","Chennai",2020-03-25,"co",663.396226415094
"44","Chennai",2020-03-24,"co",704.945848375451
"45","Chennai",2020-03-23,"co",905.830115830116
"46","Chennai",2020-03-22,"co",1068.27586206897
"47","Chennai",2020-03-21,"co",1114.27561837456
"48","Chennai",2020-03-20,"co",1027.19626168224
"49","Chennai",2020-03-19,"co",973
"50","Chennai",2020-03-18,"co",818.899371069182
"51","Chennai",2020-03-17,"co",955.015479876161
"52","Chennai",2020-03-16,"co",902.197452229299
"53","Chennai",2020-03-15,"co",654.06528189911
"54","Chennai",2020-03-14,"co",569.408099688473
"55","Chennai",2020-03-13,"co",881.470588235294
"56","Chennai",2020-03-12,"co",889.846153846154
"57","Chennai",2020-03-11,"co",628.761609907121
"58","Chennai",2020-03-10,"co",522.601156069364
"59","Chennai",2020-03-09,"co",625.637065637066
"60","Chennai",2020-03-08,"co",623.961218836565
"61","Chennai",2020-03-07,"co",620.149253731343
"62","Chennai",2020-03-06,"co",669.563758389262
"63","Chennai",2020-03-05,"co",845.910931174089
"64","Chennai",2020-03-04,"co",684.007220216606
"65","Chennai",2020-03-03,"co",642.203947368421
"66","Chennai",2020-03-02,"co",662.982456140351
"67","Chennai",2020-03-01,"co",510.426229508197
"68","Chennai",2020-02-29,"co",774.867549668874
"69","Chennai",2020-02-28,"co",784.222222222222
"70","Chennai",2020-02-27,"co",668.067226890756
"71","Chennai",2020-02-26,"co",591.35446685879
"72","Chennai",2020-02-25,"co",873.098159509202
"73","Chennai",2020-02-24,"co",1025.35714285714
"74","Chennai",2020-02-23,"co",788.511904761905
"75","Chennai",2020-02-22,"co",851.666666666667
"76","Chennai",2020-02-21,"co",887.421383647799
"77","Chennai",2020-02-20,"co",757.625418060201
"78","Chennai",2020-02-19,"co",808.03125
"79","Chennai",2020-02-18,"co",972.417218543046
"80","Chennai",2020-02-17,"co",872.477341389728
"81","Chennai",2020-02-16,"co",775.955056179775
"82","Chennai",2020-02-15,"co",758.958333333333
"83","Chennai",2020-02-14,"co",1068.70689655172
"84","Chennai",2020-02-13,"co",927.943037974684
"85","Chennai",2020-02-12,"co",865.587301587302
"86","Chennai",2020-02-11,"co",791.082802547771
"87","Chennai",2020-02-10,"co",765.043227665706
"88","Chennai",2020-02-09,"co",803.333333333333
"89","Chennai",2020-02-08,"co",767.92507204611
"90","Chennai",2020-02-07,"co",737.056962025316
"91","Chennai",2020-02-06,"co",813.918495297806
