"","city","date","parameter","value"
"1","Mumbai",2020-05-05,"co",564.090909090909
"2","Mumbai",2020-05-04,"co",574.230769230769
"3","Mumbai",2020-05-03,"co",630
"4","Mumbai",2020-05-02,"co",350
"5","Mumbai",2020-05-01,"co",360.308370044053
"6","Mumbai",2020-04-30,"co",360.098039215686
"7","Mumbai",2020-04-29,"co",430.057142857143
"8","Mumbai",2020-04-28,"co",436.371681415929
"9","Mumbai",2020-04-27,"co",428.914027149321
"10","Mumbai",2020-04-26,"co",921.168831168831
"11","Mumbai",2020-04-25,"co",1003.63636363636
"12","Mumbai",2020-04-24,"co",699.148936170213
"13","Mumbai",2020-04-23,"co",628.872180451128
"14","Mumbai",2020-04-22,"co",523.461538461538
"15","Mumbai",2020-04-21,"co",600.829694323144
"16","Mumbai",2020-04-20,"co",662.530120481928
"17","Mumbai",2020-04-19,"co",667.807606263982
"18","Mumbai",2020-04-18,"co",684.09756097561
"19","Mumbai",2020-04-17,"co",760.44776119403
"20","Mumbai",2020-04-16,"co",526.93009118541
"21","Mumbai",2020-04-15,"co",618.57938718663
"22","Mumbai",2020-04-14,"co",563.6866359447
"23","Mumbai",2020-04-13,"co",444.925373134328
"24","Mumbai",2020-04-12,"co",418.128772635815
"25","Mumbai",2020-04-11,"co",466.056338028169
"26","Mumbai",2020-04-10,"co",406.373165618449
"27","Mumbai",2020-04-09,"co",385.646766169154
"28","Mumbai",2020-04-08,"co",608.342857142857
"29","Mumbai",2020-04-07,"co",590.27027027027
"30","Mumbai",2020-04-06,"co",364.865350089767
"31","Mumbai",2020-04-05,"co",432.350364963504
"32","Mumbai",2020-04-04,"co",423.483965014577
"33","Mumbai",2020-04-03,"co",425
"34","Mumbai",2020-04-02,"co",441.369636963696
"35","Mumbai",2020-04-01,"co",408.154859967051
"36","Mumbai",2020-03-31,"co",362.174688057041
"37","Mumbai",2020-03-30,"co",453.340292275574
"38","Mumbai",2020-03-29,"co",443.929765886288
"39","Mumbai",2020-03-28,"co",425.829528158295
"40","Mumbai",2020-03-27,"co",415.996732026144
"41","Mumbai",2020-03-26,"co",378.116343490305
"42","Mumbai",2020-03-25,"co",636
"43","Mumbai",2020-03-24,"co",687.278106508876
"44","Mumbai",2020-03-23,"co",564.503311258278
"45","Mumbai",2020-03-22,"co",592.272727272727
"46","Mumbai",2020-03-21,"co",483.539094650206
"47","Mumbai",2020-03-20,"co",481.318681318681
"48","Mumbai",2020-03-19,"co",555.236486486486
"49","Mumbai",2020-03-18,"co",846.854838709677
"50","Mumbai",2020-03-17,"co",1286.66023166023
"51","Mumbai",2020-03-16,"co",1209.28571428571
"52","Mumbai",2020-03-15,"co",1037.30827067669
"53","Mumbai",2020-03-14,"co",747.899838449111
"54","Mumbai",2020-03-13,"co",479.888888888889
"55","Mumbai",2020-03-12,"co",429.108280254777
"56","Mumbai",2020-03-11,"co",416.549912434326
"57","Mumbai",2020-03-10,"co",544.160363086233
"58","Mumbai",2020-03-09,"co",797.733333333333
"59","Mumbai",2020-03-08,"co",566.212121212121
"60","Mumbai",2020-03-07,"co",498.808446455505
"61","Mumbai",2020-03-06,"co",396.627516778523
"62","Mumbai",2020-03-05,"co",418.844537815126
"63","Mumbai",2020-03-04,"co",542.258064516129
"64","Mumbai",2020-03-03,"co",372.842323651452
"65","Mumbai",2020-03-02,"co",621.666666666667
"66","Mumbai",2020-03-01,"co",749.877675840979
"67","Mumbai",2020-02-29,"co",1319.62085308057
"68","Mumbai",2020-02-28,"co",1243.14285714286
"69","Mumbai",2020-02-27,"co",1072.41726618705
"70","Mumbai",2020-02-26,"co",768.455988455988
"71","Mumbai",2020-02-25,"co",1047.0802919708
"72","Mumbai",2020-02-24,"co",1152.55230125523
"73","Mumbai",2020-02-23,"co",1050.24561403509
"74","Mumbai",2020-02-22,"co",1129.86301369863
"75","Mumbai",2020-02-21,"co",833.717171717172
"76","Mumbai",2020-02-20,"co",947.8515625
"77","Mumbai",2020-02-19,"co",1098.78172588832
"78","Mumbai",2020-02-18,"co",1242.89926289926
"79","Mumbai",2020-02-17,"co",1301.26849894292
"80","Mumbai",2020-02-16,"co",1076.3040446304
"81","Mumbai",2020-02-15,"co",785.809018567639
"82","Mumbai",2020-02-14,"co",860.949796472185
"83","Mumbai",2020-02-13,"co",945.324503311258
"84","Mumbai",2020-02-12,"co",1163.31395348837
"85","Mumbai",2020-02-11,"co",1151.10027855153
"86","Mumbai",2020-02-10,"co",801.329011345219
"87","Mumbai",2020-02-09,"co",794.900662251656
"88","Mumbai",2020-02-08,"co",861.210826210826
"89","Mumbai",2020-02-07,"co",814.863221884498
"90","Mumbai",2020-02-06,"co",786.107784431138
