"","city","date","parameter","value"
"1","Kolkata",2020-05-05,"no2",8.87729166666667
"2","Kolkata",2020-05-04,"no2",9.95131147540984
"3","Kolkata",2020-05-03,"no2",9.84630434782609
"4","Kolkata",2020-05-02,"no2",9.59922727272727
"5","Kolkata",2020-05-01,"no2",7.79320675105485
"6","Kolkata",2020-04-30,"no2",7.50733067729084
"7","Kolkata",2020-04-29,"no2",8.1010071942446
"8","Kolkata",2020-04-28,"no2",9.27453608247423
"9","Kolkata",2020-04-27,"no2",7.21776595744681
"10","Kolkata",2020-04-26,"no2",6.80923076923077
"11","Kolkata",2020-04-25,"no2",9.00444444444445
"12","Kolkata",2020-04-24,"no2",7.23558139534884
"13","Kolkata",2020-04-23,"no2",7.61769841269841
"14","Kolkata",2020-04-22,"no2",8.55615384615385
"15","Kolkata",2020-04-21,"no2",10.6811707317073
"16","Kolkata",2020-04-20,"no2",7.28763925729443
"17","Kolkata",2020-04-19,"no2",6.10004728132388
"18","Kolkata",2020-04-18,"no2",8.49231111111111
"19","Kolkata",2020-04-17,"no2",6.83397727272727
"20","Kolkata",2020-04-16,"no2",8.93471604938272
"21","Kolkata",2020-04-15,"no2",9.58589164785553
"22","Kolkata",2020-04-14,"no2",5.27698602794411
"23","Kolkata",2020-04-13,"no2",6.1
"24","Kolkata",2020-04-12,"no2",6.81114164904863
"25","Kolkata",2020-04-11,"no2",7.09408602150538
"26","Kolkata",2020-04-10,"no2",6.99483460559796
"27","Kolkata",2020-04-09,"no2",10.0511202185792
"28","Kolkata",2020-04-08,"no2",12.3268322981366
"29","Kolkata",2020-04-07,"no2",9.68131979695431
"30","Kolkata",2020-04-06,"no2",13.0095633187773
"31","Kolkata",2020-04-05,"no2",10.4287470449173
"32","Kolkata",2020-04-04,"no2",12.3755405405405
"33","Kolkata",2020-04-03,"no2",14.4393718592965
"34","Kolkata",2020-04-02,"no2",10.2740253164557
"35","Kolkata",2020-04-01,"no2",12.1391794871795
"36","Kolkata",2020-03-31,"no2",17.2412130177515
"37","Kolkata",2020-03-30,"no2",16.5258146964856
"38","Kolkata",2020-03-29,"no2",12.9561282051282
"39","Kolkata",2020-03-28,"no2",13.9065158371041
"40","Kolkata",2020-03-27,"no2",13.4021412803532
"41","Kolkata",2020-03-26,"no2",16.505606557377
"42","Kolkata",2020-03-25,"no2",13.7216030534351
"43","Kolkata",2020-03-24,"no2",19.7933128834356
"44","Kolkata",2020-03-23,"no2",18.6505084745763
"45","Kolkata",2020-03-22,"no2",22.9458620689655
"46","Kolkata",2020-03-21,"no2",26.6237142857143
"47","Kolkata",2020-03-20,"no2",39.2021194029851
"48","Kolkata",2020-03-19,"no2",32.5356182212581
"49","Kolkata",2020-03-18,"no2",44.3071772428884
"50","Kolkata",2020-03-17,"no2",42.0290861618799
"51","Kolkata",2020-03-16,"no2",41.4391525423729
"52","Kolkata",2020-03-15,"no2",29.725368956743
"53","Kolkata",2020-03-14,"no2",21.5618844221106
"54","Kolkata",2020-03-13,"no2",38.6073300970874
"55","Kolkata",2020-03-12,"no2",28.9071274298056
"56","Kolkata",2020-03-11,"no2",31.8081632653061
"57","Kolkata",2020-03-10,"no2",32.1339919354839
"58","Kolkata",2020-03-09,"no2",35.9016179775281
"59","Kolkata",2020-03-08,"no2",32.0156164383562
"60","Kolkata",2020-03-07,"no2",26.2564969450102
"61","Kolkata",2020-03-06,"no2",22.8526349892009
"62","Kolkata",2020-03-05,"no2",35.7363929618768
"63","Kolkata",2020-03-04,"no2",27.0580857142857
"64","Kolkata",2020-03-03,"no2",29.9302380952381
"65","Kolkata",2020-03-02,"no2",60.7896753246753
"66","Kolkata",2020-03-01,"no2",65.4225
"67","Kolkata",2020-02-29,"no2",67.4467613636364
"68","Kolkata",2020-02-28,"no2",50.2014971751412
"69","Kolkata",2020-02-27,"no2",47.7369494949495
"70","Kolkata",2020-02-26,"no2",33.402337398374
"71","Kolkata",2020-02-25,"no2",50.6403416149068
"72","Kolkata",2020-02-24,"no2",61.2214076246334
"73","Kolkata",2020-02-23,"no2",47.5405684754522
"74","Kolkata",2020-02-22,"no2",67.166358974359
"75","Kolkata",2020-02-21,"no2",69.7123652694611
"76","Kolkata",2020-02-20,"no2",41.1352802359882
"77","Kolkata",2020-02-19,"no2",38.412397260274
"78","Kolkata",2020-02-18,"no2",54.8304
"79","Kolkata",2020-02-17,"no2",67.5278859060403
"80","Kolkata",2020-02-16,"no2",62.6720281124498
"81","Kolkata",2020-02-15,"no2",68.4126043737575
"82","Kolkata",2020-02-14,"no2",63.2482785299807
"83","Kolkata",2020-02-13,"no2",79.1023540856031
"84","Kolkata",2020-02-12,"no2",83.2386868686869
"85","Kolkata",2020-02-11,"no2",80.8160038240918
"86","Kolkata",2020-02-10,"no2",77.8910805084746
"87","Kolkata",2020-02-09,"no2",59.6057590361446
"88","Kolkata",2020-02-08,"no2",55.0098050139276
"89","Kolkata",2020-02-07,"no2",54.6029180327869
"90","Kolkata",2020-02-06,"no2",59.9922163588391
