"","city","date","parameter","value"
"1","Chennai",2020-05-05,"no2",3.41365384615385
"2","Chennai",2020-05-04,"no2",2.13451327433628
"3","Chennai",2020-05-03,"no2",2.87734042553191
"4","Chennai",2020-05-02,"no2",3.24274611398964
"5","Chennai",2020-05-01,"no2",4.59393939393939
"6","Chennai",2020-04-30,"no2",9.83883597883598
"7","Chennai",2020-04-29,"no2",6.83592233009709
"8","Chennai",2020-04-28,"no2",5.30012987012987
"9","Chennai",2020-04-27,"no2",6.19777027027027
"10","Chennai",2020-04-26,"no2",10.504965034965
"11","Chennai",2020-04-25,"no2",12.3922222222222
"12","Chennai",2020-04-24,"no2",11.1321428571429
"13","Chennai",2020-04-23,"no2",9.97011494252874
"14","Chennai",2020-04-22,"no2",8.67229299363057
"15","Chennai",2020-04-21,"no2",4.85333333333333
"16","Chennai",2020-04-20,"no2",3.56214057507987
"17","Chennai",2020-04-19,"no2",4.44491176470588
"18","Chennai",2020-04-18,"no2",6.50742474916388
"19","Chennai",2020-04-17,"no2",4.15602836879433
"20","Chennai",2020-04-16,"no2",7.33138235294118
"21","Chennai",2020-04-15,"no2",7.60255520504732
"22","Chennai",2020-04-14,"no2",9.02690476190476
"23","Chennai",2020-04-13,"no2",11.3603779069767
"24","Chennai",2020-04-12,"no2",11.6553468208092
"25","Chennai",2020-04-11,"no2",10.7766184971098
"26","Chennai",2020-04-10,"no2",12.0421604938272
"27","Chennai",2020-04-09,"no2",14.028007518797
"28","Chennai",2020-04-08,"no2",8.10594594594595
"29","Chennai",2020-04-07,"no2",9.70096551724138
"30","Chennai",2020-04-06,"no2",9.40614886731392
"31","Chennai",2020-04-05,"no2",7.79251445086705
"32","Chennai",2020-04-04,"no2",6.46179487179487
"33","Chennai",2020-04-03,"no2",7.30598765432099
"34","Chennai",2020-04-02,"no2",7.98210526315789
"35","Chennai",2020-04-01,"no2",10.7158769230769
"36","Chennai",2020-03-31,"no2",9.57761744966443
"37","Chennai",2020-03-30,"no2",8.77604255319149
"38","Chennai",2020-03-29,"no2",8.55730158730159
"39","Chennai",2020-03-28,"no2",5.14814126394052
"40","Chennai",2020-03-27,"no2",4.23464163822526
"41","Chennai",2020-03-26,"no2",9.28227118644068
"42","Chennai",2020-03-25,"no2",4.65094339622642
"43","Chennai",2020-03-24,"no2",6.49364620938628
"44","Chennai",2020-03-23,"no2",8.05158301158301
"45","Chennai",2020-03-22,"no2",3.5748275862069
"46","Chennai",2020-03-21,"no2",8.78731448763251
"47","Chennai",2020-03-20,"no2",7.50797507788162
"48","Chennai",2020-03-19,"no2",9.91709677419355
"49","Chennai",2020-03-18,"no2",8.03216981132075
"50","Chennai",2020-03-17,"no2",7.79198142414861
"51","Chennai",2020-03-16,"no2",10.2409904153355
"52","Chennai",2020-03-15,"no2",10.4350148367953
"53","Chennai",2020-03-14,"no2",13.0784735202492
"54","Chennai",2020-03-13,"no2",17.1471691176471
"55","Chennai",2020-03-12,"no2",10.7998153846154
"56","Chennai",2020-03-11,"no2",7.27959752321981
"57","Chennai",2020-03-10,"no2",8.22378612716763
"58","Chennai",2020-03-09,"no2",10.005250965251
"59","Chennai",2020-03-08,"no2",6.91725761772853
"60","Chennai",2020-03-07,"no2",8.55519402985075
"61","Chennai",2020-03-06,"no2",7.55419463087248
"62","Chennai",2020-03-05,"no2",12.0037651821862
"63","Chennai",2020-03-04,"no2",16.3944363636364
"64","Chennai",2020-03-03,"no2",16.2694736842105
"65","Chennai",2020-03-02,"no2",14.3053333333333
"66","Chennai",2020-03-01,"no2",10.6414098360656
"67","Chennai",2020-02-29,"no2",15.1016225165563
"68","Chennai",2020-02-28,"no2",12.3046031746032
"69","Chennai",2020-02-27,"no2",9.34843137254902
"70","Chennai",2020-02-26,"no2",10.1118155619597
"71","Chennai",2020-02-25,"no2",10.3045705521472
"72","Chennai",2020-02-24,"no2",12.4274404761905
"73","Chennai",2020-02-23,"no2",7.81827380952381
"74","Chennai",2020-02-22,"no2",9.40178787878788
"75","Chennai",2020-02-21,"no2",14.5267295597484
"76","Chennai",2020-02-20,"no2",17.1711705685619
"77","Chennai",2020-02-19,"no2",15.157
"78","Chennai",2020-02-18,"no2",17.682880794702
"79","Chennai",2020-02-17,"no2",18.1971515151515
"80","Chennai",2020-02-16,"no2",12.6684269662921
"81","Chennai",2020-02-15,"no2",15.1593055555556
"82","Chennai",2020-02-14,"no2",20.0722413793103
"83","Chennai",2020-02-13,"no2",19.4507911392405
"84","Chennai",2020-02-12,"no2",19.8333015873016
"85","Chennai",2020-02-11,"no2",20.7194585987261
"86","Chennai",2020-02-10,"no2",15.2549855907781
"87","Chennai",2020-02-09,"no2",8.80644444444444
"88","Chennai",2020-02-08,"no2",10.4975722543353
"89","Chennai",2020-02-07,"no2",12.9846835443038
"90","Chennai",2020-02-06,"no2",17.034012539185
