"","city","date","parameter","value"
"1","Kolkata",2020-05-05,"o3",30.7852083333333
"2","Kolkata",2020-05-04,"o3",32.6918032786885
"3","Kolkata",2020-05-03,"o3",37.1236956521739
"4","Kolkata",2020-05-02,"o3",30.5224545454545
"5","Kolkata",2020-05-01,"o3",32.1699156118143
"6","Kolkata",2020-04-30,"o3",36.1163492063492
"7","Kolkata",2020-04-29,"o3",34.538273381295
"8","Kolkata",2020-04-28,"o3",24.4225388601036
"9","Kolkata",2020-04-27,"o3",28.0972340425532
"10","Kolkata",2020-04-26,"o3",33.3134615384615
"11","Kolkata",2020-04-25,"o3",36.6422222222222
"12","Kolkata",2020-04-24,"o3",30.8213636363636
"13","Kolkata",2020-04-23,"o3",27.6509677419355
"14","Kolkata",2020-04-22,"o3",28.5758860759494
"15","Kolkata",2020-04-21,"o3",38.992315270936
"16","Kolkata",2020-04-20,"o3",34.2669291338583
"17","Kolkata",2020-04-19,"o3",38.5546117647059
"18","Kolkata",2020-04-18,"o3",43.7072888888889
"19","Kolkata",2020-04-17,"o3",30.0421468926554
"20","Kolkata",2020-04-16,"o3",43.5635643564356
"21","Kolkata",2020-04-15,"o3",32.3312415349887
"22","Kolkata",2020-04-14,"o3",34.2902390438247
"23","Kolkata",2020-04-13,"o3",39.2288659793814
"24","Kolkata",2020-04-12,"o3",36.8418220338983
"25","Kolkata",2020-04-11,"o3",49.7196344086022
"26","Kolkata",2020-04-10,"o3",48.5620202020202
"27","Kolkata",2020-04-09,"o3",76.6506043956044
"28","Kolkata",2020-04-08,"o3",75.405
"29","Kolkata",2020-04-07,"o3",61.106
"30","Kolkata",2020-04-06,"o3",56.7216989247312
"31","Kolkata",2020-04-05,"o3",63.3771194379391
"32","Kolkata",2020-04-04,"o3",76.235393258427
"33","Kolkata",2020-04-03,"o3",71.3542025316456
"34","Kolkata",2020-04-02,"o3",56.6575949367089
"35","Kolkata",2020-04-01,"o3",79.9149230769231
"36","Kolkata",2020-03-31,"o3",68.4190532544379
"37","Kolkata",2020-03-30,"o3",84.2137380191693
"38","Kolkata",2020-03-29,"o3",73.7024296675192
"39","Kolkata",2020-03-28,"o3",67.8495475113122
"40","Kolkata",2020-03-27,"o3",64.3636703296703
"41","Kolkata",2020-03-26,"o3",50.8735161290323
"42","Kolkata",2020-03-25,"o3",65.6633846153846
"43","Kolkata",2020-03-24,"o3",62.6526993865031
"44","Kolkata",2020-03-23,"o3",73.304406779661
"45","Kolkata",2020-03-22,"o3",67.8528448275862
"46","Kolkata",2020-03-21,"o3",76.9416571428571
"47","Kolkata",2020-03-20,"o3",54.3254626865672
"48","Kolkata",2020-03-19,"o3",85.5449240780911
"49","Kolkata",2020-03-18,"o3",58.8599781181619
"50","Kolkata",2020-03-17,"o3",50.995234375
"51","Kolkata",2020-03-16,"o3",52.6968474576271
"52","Kolkata",2020-03-15,"o3",45.8486734693878
"53","Kolkata",2020-03-14,"o3",54.6434924623116
"54","Kolkata",2020-03-13,"o3",53.7811219512195
"55","Kolkata",2020-03-12,"o3",33.3187931034483
"56","Kolkata",2020-03-11,"o3",56.1585487528345
"57","Kolkata",2020-03-10,"o3",68.9128370221328
"58","Kolkata",2020-03-09,"o3",44.7531685393258
"59","Kolkata",2020-03-08,"o3",31.4714285714286
"60","Kolkata",2020-03-07,"o3",24.2466869918699
"61","Kolkata",2020-03-06,"o3",31.1640909090909
"62","Kolkata",2020-03-05,"o3",21.7492375366569
"63","Kolkata",2020-03-04,"o3",50.5268194842407
"64","Kolkata",2020-03-03,"o3",53.7023150357995
"65","Kolkata",2020-03-02,"o3",62.4074193548387
"66","Kolkata",2020-03-01,"o3",48.2424107142857
"67","Kolkata",2020-02-29,"o3",44.8403977272727
"68","Kolkata",2020-02-28,"o3",49.5719718309859
"69","Kolkata",2020-02-27,"o3",43.1174647887324
"70","Kolkata",2020-02-26,"o3",33.3362550607287
"71","Kolkata",2020-02-25,"o3",15.1409937888199
"72","Kolkata",2020-02-24,"o3",25.722865497076
"73","Kolkata",2020-02-23,"o3",47.7615482233503
"74","Kolkata",2020-02-22,"o3",51.31343832021
"75","Kolkata",2020-02-21,"o3",43.3914749262537
"76","Kolkata",2020-02-20,"o3",41.957
"77","Kolkata",2020-02-19,"o3",56.8429794520548
"78","Kolkata",2020-02-18,"o3",53.1581454545455
"79","Kolkata",2020-02-17,"o3",43.29872909699
"80","Kolkata",2020-02-16,"o3",48.4758032128514
"81","Kolkata",2020-02-15,"o3",44.7694820717131
"82","Kolkata",2020-02-14,"o3",52.1263056092843
"83","Kolkata",2020-02-13,"o3",45.0548054474708
"84","Kolkata",2020-02-12,"o3",39.2445344129555
"85","Kolkata",2020-02-11,"o3",40.3595801526718
"86","Kolkata",2020-02-10,"o3",34.2143459915612
"87","Kolkata",2020-02-09,"o3",36.5306112469438
"88","Kolkata",2020-02-08,"o3",14.4466295264624
"89","Kolkata",2020-02-07,"o3",40.9133770491803
"90","Kolkata",2020-02-06,"o3",42.2840833333333
