"","city","date","parameter","value"
"1","Chennai",2020-05-05,"pm25",21.7272357723577
"2","Chennai",2020-05-04,"pm25",6.82751824817518
"3","Chennai",2020-05-03,"pm25",9.90050847457627
"4","Chennai",2020-05-02,"pm25",15.1296244131455
"5","Chennai",2020-05-01,"pm25",15.0310052910053
"6","Chennai",2020-04-30,"pm25",10.0467136150235
"7","Chennai",2020-04-29,"pm25",13.0296062992126
"8","Chennai",2020-04-28,"pm25",5.90039325842697
"9","Chennai",2020-04-27,"pm25",7.88453488372093
"10","Chennai",2020-04-26,"pm25",14.3010778443114
"11","Chennai",2020-04-25,"pm25",5.52549019607843
"12","Chennai",2020-04-24,"pm25",6.4375641025641
"13","Chennai",2020-04-23,"pm25",7.24121212121212
"14","Chennai",2020-04-22,"pm25",-5.51596685082873
"15","Chennai",2020-04-21,"pm25",-27.6494366197183
"16","Chennai",2020-04-20,"pm25",10.7962611275964
"17","Chennai",2020-04-19,"pm25",7.58167582417582
"18","Chennai",2020-04-18,"pm25",8.9094427244582
"19","Chennai",2020-04-17,"pm25",8.88960784313725
"20","Chennai",2020-04-16,"pm25",12.7546005509642
"21","Chennai",2020-04-15,"pm25",20.5942521994135
"22","Chennai",2020-04-14,"pm25",16.3343611111111
"23","Chennai",2020-04-13,"pm25",18.286222826087
"24","Chennai",2020-04-12,"pm25",15.8351621621622
"25","Chennai",2020-04-11,"pm25",7.03054054054054
"26","Chennai",2020-04-10,"pm25",2.39048850574713
"27","Chennai",2020-04-09,"pm25",31.4466896551724
"28","Chennai",2020-04-08,"pm25",15.1227586206897
"29","Chennai",2020-04-07,"pm25",-14.337101910828
"30","Chennai",2020-04-06,"pm25",-59.7287687687688
"31","Chennai",2020-04-05,"pm25",-46.715
"32","Chennai",2020-04-04,"pm25",-45.3146666666667
"33","Chennai",2020-04-03,"pm25",-46.3245402298851
"34","Chennai",2020-04-02,"pm25",-43.3793659942363
"35","Chennai",2020-04-01,"pm25",-38.0563037249284
"36","Chennai",2020-03-31,"pm25",8.39344720496895
"37","Chennai",2020-03-30,"pm25",27.8798841698842
"38","Chennai",2020-03-29,"pm25",26.2327898550725
"39","Chennai",2020-03-28,"pm25",32.7130034129693
"40","Chennai",2020-03-27,"pm25",27.9083911671924
"41","Chennai",2020-03-26,"pm25",29.8810031347962
"42","Chennai",2020-03-25,"pm25",21.9080276816609
"43","Chennai",2020-03-24,"pm25",21.7570099667774
"44","Chennai",2020-03-23,"pm25",27.4566077738516
"45","Chennai",2020-03-22,"pm25",38.551050955414
"46","Chennai",2020-03-21,"pm25",30.3789576547231
"47","Chennai",2020-03-20,"pm25",27.9633043478261
"48","Chennai",2020-03-19,"pm25",39.9216167664671
"49","Chennai",2020-03-18,"pm25",33.5358771929825
"50","Chennai",2020-03-17,"pm25",38.7721037463977
"51","Chennai",2020-03-16,"pm25",33.4414201183432
"52","Chennai",2020-03-15,"pm25",32.3578670360111
"53","Chennai",2020-03-14,"pm25",38.9527325581395
"54","Chennai",2020-03-13,"pm25",-0.438310810810811
"55","Chennai",2020-03-12,"pm25",9.70246418338109
"56","Chennai",2020-03-11,"pm25",17.5557636887608
"57","Chennai",2020-03-10,"pm25",24.1553783783784
"58","Chennai",2020-03-09,"pm25",24.4609540636042
"59","Chennai",2020-03-08,"pm25",21.8726233766234
"60","Chennai",2020-03-07,"pm25",25.9903921568627
"61","Chennai",2020-03-06,"pm25",12.8404658385093
"62","Chennai",2020-03-05,"pm25",24.2127306273063
"63","Chennai",2020-03-04,"pm25",31.9512956810631
"64","Chennai",2020-03-03,"pm25",42.3179573170732
"65","Chennai",2020-03-02,"pm25",47.3870873786408
"66","Chennai",2020-03-01,"pm25",40.7612765957447
"67","Chennai",2020-02-29,"pm25",44.6361963190184
"68","Chennai",2020-02-28,"pm25",33.561209439528
"69","Chennai",2020-02-27,"pm25",38.3207611548556
"70","Chennai",2020-02-26,"pm25",38.969460916442
"71","Chennai",2020-02-25,"pm25",37.645641025641
"72","Chennai",2020-02-24,"pm25",29.4731944444444
"73","Chennai",2020-02-23,"pm25",30.4663333333333
"74","Chennai",2020-02-22,"pm25",29.8949152542373
"75","Chennai",2020-02-21,"pm25",33.354926686217
"76","Chennai",2020-02-20,"pm25",35.932600619195
"77","Chennai",2020-02-19,"pm25",43.5620639534884
"78","Chennai",2020-02-18,"pm25",42.8820858895706
"79","Chennai",2020-02-17,"pm25",40.0128732394366
"80","Chennai",2020-02-16,"pm25",34.1537631578947
"81","Chennai",2020-02-15,"pm25",41.046282051282
"82","Chennai",2020-02-14,"pm25",62.409247311828
"83","Chennai",2020-02-13,"pm25",51.0170882352941
"84","Chennai",2020-02-12,"pm25",35.4724483775811
"85","Chennai",2020-02-11,"pm25",28.4086390532544
"86","Chennai",2020-02-10,"pm25",33.0587061994609
"87","Chennai",2020-02-09,"pm25",30.648046875
"88","Chennai",2020-02-08,"pm25",27.9475945945946
"89","Chennai",2020-02-07,"pm25",34.4707352941176
"90","Chennai",2020-02-06,"pm25",39.4780758017493
