"","city","date","parameter","value"
"1","Delhi",2020-05-05,"pm25",49.7024460431655
"2","Delhi",2020-05-04,"pm25",35.102120838471
"3","Delhi",2020-05-03,"pm25",29.2642546583851
"4","Delhi",2020-05-02,"pm25",31.7953587647593
"5","Delhi",2020-05-01,"pm25",47.936987854251
"6","Delhi",2020-04-30,"pm25",56.3641180811808
"7","Delhi",2020-04-29,"pm25",48.8134324324324
"8","Delhi",2020-04-28,"pm25",39.7706724303554
"9","Delhi",2020-04-27,"pm25",6.38937153419593
"10","Delhi",2020-04-26,"pm25",13.0565426695842
"11","Delhi",2020-04-25,"pm25",39.699375
"12","Delhi",2020-04-24,"pm25",42.4291634980989
"13","Delhi",2020-04-23,"pm25",60.5837555228277
"14","Delhi",2020-04-22,"pm25",60.0347569721116
"15","Delhi",2020-04-21,"pm25",35.6473270893372
"16","Delhi",2020-04-20,"pm25",31.0857839721254
"17","Delhi",2020-04-19,"pm25",43.3181523150151
"18","Delhi",2020-04-18,"pm25",25.0004597701149
"19","Delhi",2020-04-17,"pm25",25.132908847185
"20","Delhi",2020-04-16,"pm25",48.3947574543836
"21","Delhi",2020-04-15,"pm25",54.7228901098901
"22","Delhi",2020-04-14,"pm25",48.8630782385635
"23","Delhi",2020-04-13,"pm25",60.2623833333333
"24","Delhi",2020-04-12,"pm25",47.4552597152751
"25","Delhi",2020-04-11,"pm25",41.9114568421053
"26","Delhi",2020-04-10,"pm25",56.620525198939
"27","Delhi",2020-04-09,"pm25",44.8684750733138
"28","Delhi",2020-04-08,"pm25",26.5529458665548
"29","Delhi",2020-04-07,"pm25",31.9751119402985
"30","Delhi",2020-04-06,"pm25",41.4526398852224
"31","Delhi",2020-04-05,"pm25",58.9747703180212
"32","Delhi",2020-04-04,"pm25",41.2037295625276
"33","Delhi",2020-04-03,"pm25",33.2456161532057
"34","Delhi",2020-04-02,"pm25",25.070957309185
"35","Delhi",2020-04-01,"pm25",49.3687453531599
"36","Delhi",2020-03-31,"pm25",64.9229820051414
"37","Delhi",2020-03-30,"pm25",76.3642036199095
"38","Delhi",2020-03-29,"pm25",104.571678548283
