"","city","date","parameter","value"
"1","Kolkata",2020-05-05,"pm25",17.7316417910448
"2","Kolkata",2020-05-04,"pm25",20.922
"3","Kolkata",2020-05-03,"pm25",21.314
"4","Kolkata",2020-05-02,"pm25",19.7491489361702
"5","Kolkata",2020-05-01,"pm25",10.060153256705
"6","Kolkata",2020-04-30,"pm25",13.5960507246377
"7","Kolkata",2020-04-29,"pm25",17.1177639751553
"8","Kolkata",2020-04-28,"pm25",9.98341013824885
"9","Kolkata",2020-04-27,"pm25",9.75372641509434
"10","Kolkata",2020-04-26,"pm25",13.065
"11","Kolkata",2020-04-25,"pm25",21.0375
"12","Kolkata",2020-04-24,"pm25",8.68679245283019
"13","Kolkata",2020-04-23,"pm25",12.2664189189189
"14","Kolkata",2020-04-22,"pm25",12.7935164835165
"15","Kolkata",2020-04-21,"pm25",10.8405286343612
"16","Kolkata",2020-04-20,"pm25",12.56
"17","Kolkata",2020-04-19,"pm25",11.4840757238307
"18","Kolkata",2020-04-18,"pm25",16.46984
"19","Kolkata",2020-04-17,"pm25",22.11675
"20","Kolkata",2020-04-16,"pm25",33.0451515151515
"21","Kolkata",2020-04-15,"pm25",24.9225215517241
"22","Kolkata",2020-04-14,"pm25",27.6939731285988
"23","Kolkata",2020-04-13,"pm25",24.694431372549
"24","Kolkata",2020-04-12,"pm25",22.6763983903421
"25","Kolkata",2020-04-11,"pm25",20.6076229508197
"26","Kolkata",2020-04-10,"pm25",17.8743675417661
"27","Kolkata",2020-04-09,"pm25",22.2541343669251
"28","Kolkata",2020-04-08,"pm25",25.1044086021505
"29","Kolkata",2020-04-07,"pm25",34.1775111111111
"30","Kolkata",2020-04-06,"pm25",33.4733127572016
"31","Kolkata",2020-04-05,"pm25",45.6337168141593
"32","Kolkata",2020-04-04,"pm25",40.9955032119914
"33","Kolkata",2020-04-03,"pm25",43.3360952380952
"34","Kolkata",2020-04-02,"pm25",34.0452505966587
"35","Kolkata",2020-04-01,"pm25",39.1174879227053
"36","Kolkata",2020-03-31,"pm25",35.610635359116
"37","Kolkata",2020-03-30,"pm25",34.0904451038576
"38","Kolkata",2020-03-29,"pm25",31.3799036144578
"39","Kolkata",2020-03-28,"pm25",39.9268162393162
"40","Kolkata",2020-03-27,"pm25",39.9841787941788
"41","Kolkata",2020-03-26,"pm25",45.6744712990937
"42","Kolkata",2020-03-25,"pm25",40.29
"43","Kolkata",2020-03-24,"pm25",39.7470053475936
"44","Kolkata",2020-03-23,"pm25",24.8887323943662
"45","Kolkata",2020-03-22,"pm25",16.0726428571429
"46","Kolkata",2020-03-21,"pm25",29.45205
"47","Kolkata",2020-03-20,"pm25",44.6671309192201
"48","Kolkata",2020-03-19,"pm25",67.4715257731959
"49","Kolkata",2020-03-18,"pm25",80.1186694386694
"50","Kolkata",2020-03-17,"pm25",66.5108108108108
"51","Kolkata",2020-03-16,"pm25",58.3167711598746
"52","Kolkata",2020-03-15,"pm25",30.6812230215827
"53","Kolkata",2020-03-14,"pm25",32.4975592417062
"54","Kolkata",2020-03-13,"pm25",62.0321052631579
"55","Kolkata",2020-03-12,"pm25",53.1693852459016
"56","Kolkata",2020-03-11,"pm25",56.6063440860215
"57","Kolkata",2020-03-10,"pm25",59.2435961538462
"58","Kolkata",2020-03-09,"pm25",58.5344680851064
"59","Kolkata",2020-03-08,"pm25",46.7315456238361
"60","Kolkata",2020-03-07,"pm25",31.275523255814
"61","Kolkata",2020-03-06,"pm25",26.4648360655738
"62","Kolkata",2020-03-05,"pm25",37.1973770491803
"63","Kolkata",2020-03-04,"pm25",43.7732085561497
"64","Kolkata",2020-03-03,"pm25",67.3681306306306
"65","Kolkata",2020-03-02,"pm25",81.9793854748603
"66","Kolkata",2020-03-01,"pm25",98.2204417670683
"67","Kolkata",2020-02-29,"pm25",78.6562189054726
"68","Kolkata",2020-02-28,"pm25",73.408664921466
"69","Kolkata",2020-02-27,"pm25",57.2887837837838
"70","Kolkata",2020-02-26,"pm25",33.6993023255814
"71","Kolkata",2020-02-25,"pm25",56.8960806916427
"72","Kolkata",2020-02-24,"pm25",116.211726027397
"73","Kolkata",2020-02-23,"pm25",85.798756097561
"74","Kolkata",2020-02-22,"pm25",105.284244604317
"75","Kolkata",2020-02-21,"pm25",96.1429362880886
"76","Kolkata",2020-02-20,"pm25",57.9662942779292
"77","Kolkata",2020-02-19,"pm25",68.7969968051118
"78","Kolkata",2020-02-18,"pm25",80.515652173913
"79","Kolkata",2020-02-17,"pm25",95.5304953560372
"80","Kolkata",2020-02-16,"pm25",94.7117049808429
"81","Kolkata",2020-02-15,"pm25",77.1358823529412
"82","Kolkata",2020-02-14,"pm25",82.5225185185185
"83","Kolkata",2020-02-13,"pm25",102.029087523277
"84","Kolkata",2020-02-12,"pm25",100.372606177606
"85","Kolkata",2020-02-11,"pm25",96.8059124087591
"86","Kolkata",2020-02-10,"pm25",103.500060483871
"87","Kolkata",2020-02-09,"pm25",90.5187385321101
"88","Kolkata",2020-02-08,"pm25",112.16684073107
"89","Kolkata",2020-02-07,"pm25",73.9534650455927
"90","Kolkata",2020-02-06,"pm25",79.01234375
