"","city","date","parameter","value"
"1","Mumbai",2020-05-05,"pm25",21.3
"2","Mumbai",2020-05-04,"pm25",78.3459459459459
"3","Mumbai",2020-05-03,"pm25",80.7609210526316
"4","Mumbai",2020-05-02,"pm25",221.864965034965
"5","Mumbai",2020-05-01,"pm25",193.097387096774
"6","Mumbai",2020-04-30,"pm25",245.97868852459
"7","Mumbai",2020-04-29,"pm25",220.262169811321
"8","Mumbai",2020-04-28,"pm25",197.03619047619
"9","Mumbai",2020-04-27,"pm25",197.876766917293
"10","Mumbai",2020-04-26,"pm25",50.5990196078431
"11","Mumbai",2020-04-25,"pm25",28.2637931034483
"12","Mumbai",2020-04-24,"pm25",145.795740740741
"13","Mumbai",2020-04-23,"pm25",147.355209580838
"14","Mumbai",2020-04-22,"pm25",187.438185483871
"15","Mumbai",2020-04-21,"pm25",216.320073260073
"16","Mumbai",2020-04-20,"pm25",381.351390593047
"17","Mumbai",2020-04-19,"pm25",470.070114285714
"18","Mumbai",2020-04-18,"pm25",317.350826446281
"19","Mumbai",2020-04-17,"pm25",272.78216374269
"20","Mumbai",2020-04-16,"pm25",425.060995260664
"21","Mumbai",2020-04-15,"pm25",431.991703056769
"22","Mumbai",2020-04-14,"pm25",477.638195488722
"23","Mumbai",2020-04-13,"pm25",511.228635547576
"24","Mumbai",2020-04-12,"pm25",543.357100694444
"25","Mumbai",2020-04-11,"pm25",535.770283185841
"26","Mumbai",2020-04-10,"pm25",394.238586762075
"27","Mumbai",2020-04-09,"pm25",351.940393374741
"28","Mumbai",2020-04-08,"pm25",194.949351851852
"29","Mumbai",2020-04-07,"pm25",222.506541353383
"30","Mumbai",2020-04-06,"pm25",282.928067484663
"31","Mumbai",2020-04-05,"pm25",285.336803069054
"32","Mumbai",2020-04-04,"pm25",284.495470737913
"33","Mumbai",2020-04-03,"pm25",277.824563953488
"34","Mumbai",2020-04-02,"pm25",242.799190340909
"35","Mumbai",2020-04-01,"pm25",215.050978723404
"36","Mumbai",2020-03-31,"pm25",139.852210031348
"37","Mumbai",2020-03-30,"pm25",62.3211891891892
"38","Mumbai",2020-03-29,"pm25",27.680234948605
"39","Mumbai",2020-03-28,"pm25",25.699033557047
"40","Mumbai",2020-03-27,"pm25",26.8187571428571
"41","Mumbai",2020-03-26,"pm25",24.5287320574163
"42","Mumbai",2020-03-25,"pm25",30.4572463768116
"43","Mumbai",2020-03-24,"pm25",38.4524200913242
"44","Mumbai",2020-03-23,"pm25",27.6298994974874
"45","Mumbai",2020-03-22,"pm25",22.6734965034965
"46","Mumbai",2020-03-21,"pm25",46.2281690140845
"47","Mumbai",2020-03-20,"pm25",39.2858582089552
"48","Mumbai",2020-03-19,"pm25",26.6754751131222
"49","Mumbai",2020-03-18,"pm25",45.0119942611191
"50","Mumbai",2020-03-17,"pm25",91.0778694158076
"51","Mumbai",2020-03-16,"pm25",69.0509129511677
"52","Mumbai",2020-03-15,"pm25",65.9925968992248
"53","Mumbai",2020-03-14,"pm25",66.1174408901252
"54","Mumbai",2020-03-13,"pm25",22.3831672025723
"55","Mumbai",2020-03-12,"pm25",16.8974859550562
"56","Mumbai",2020-03-11,"pm25",17.4711458333333
"57","Mumbai",2020-03-10,"pm25",27.8947347994825
"58","Mumbai",2020-03-09,"pm25",48.2214223512337
"59","Mumbai",2020-03-08,"pm25",29.6113475177305
"60","Mumbai",2020-03-07,"pm25",26.02516
"61","Mumbai",2020-03-06,"pm25",15.6329376854599
"62","Mumbai",2020-03-05,"pm25",43.7778003696858
"63","Mumbai",2020-03-04,"pm25",48.8646058091286
"64","Mumbai",2020-03-03,"pm25",38.6402807017544
"65","Mumbai",2020-03-02,"pm25",57.7830061349693
"66","Mumbai",2020-03-01,"pm25",47.3173490813648
"67","Mumbai",2020-02-29,"pm25",68.5173484848485
"68","Mumbai",2020-02-28,"pm25",80.9653409090909
"69","Mumbai",2020-02-27,"pm25",60.7145256410256
"70","Mumbai",2020-02-26,"pm25",39.1792966751918
"71","Mumbai",2020-02-25,"pm25",17.8933474576271
"72","Mumbai",2020-02-24,"pm25",83.8413114754098
"73","Mumbai",2020-02-23,"pm25",75.6122307692308
"74","Mumbai",2020-02-22,"pm25",88.2973475609756
"75","Mumbai",2020-02-21,"pm25",44.7839361702128
"76","Mumbai",2020-02-20,"pm25",57.2094539249147
"77","Mumbai",2020-02-19,"pm25",80.6605434782609
"78","Mumbai",2020-02-18,"pm25",94.7451923076923
"79","Mumbai",2020-02-17,"pm25",115.110131578947
"80","Mumbai",2020-02-16,"pm25",88.0882012578616
"81","Mumbai",2020-02-15,"pm25",57.7057037943696
"82","Mumbai",2020-02-14,"pm25",59.9911557177616
"83","Mumbai",2020-02-13,"pm25",72.5864790419162
"84","Mumbai",2020-02-12,"pm25",76.3591709183673
"85","Mumbai",2020-02-11,"pm25",76.2638705738706
"86","Mumbai",2020-02-10,"pm25",56.5078808864266
"87","Mumbai",2020-02-09,"pm25",66.3809766162311
"88","Mumbai",2020-02-08,"pm25",70.4077524038462
"89","Mumbai",2020-02-07,"pm25",53.0627858081472
"90","Mumbai",2020-02-06,"pm25",44.1329812834225
