state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,20/02/2020,1400,1400,1400
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,21/02/2020,1200,1200,1200
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,22/02/2020,1300,1300,1300
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,26/02/2020,1700,1700,1700
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,27/02/2020,1700,1700,1700
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,28/02/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,29/02/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/01/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/03/2020,1500,1500,1500
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/04/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/05/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/06/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/07/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/11/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,03/12/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,13/03/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,14/03/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,15/03/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,17/03/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,18/03/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,30/03/2020,1800,1800,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,31/03/2020,2200,2200,2200
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/01/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/02/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/03/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/05/2020,1500,1500,1500
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/07/2020,1800,1800,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/08/2020,1800,1800,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/09/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/10/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/11/2020,1800,1800,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,04/12/2020,1800,1800,1800
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,14/04/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,15/04/2020,1600,1600,1600
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,16/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,17/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,18/04/2020,2000,2000,2000
Chattisgarh,Rajnandgaon,Rajnandgaon,Potato,Potato,19/04/2020,1800,1800,1800
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,24/02/2020,1050,1400,1250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,25/02/2020,1075,1425,1325
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,26/02/2020,900,1300,1100
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,27/02/2020,1000,1350,1275
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,28/02/2020,1075,1375,1325
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,29/02/2020,1000,1300,1050
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/02/2020,900,1300,1100
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/03/2020,850,1250,1075
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/04/2020,900,1300,1000
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/05/2020,850,1200,1000
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/06/2020,1000,1400,1200
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/07/2020,1000,1200,1150
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/09/2020,950,1400,1200
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/11/2020,850,1400,1050
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,03/12/2020,1000,1500,1250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,13/03/2020,1000,1400,1200
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,14/03/2020,1050,1450,1300
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,16/03/2020,900,1350,1100
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,17/03/2020,1000,1350,1150
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,18/03/2020,1000,1300,1100
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,19/03/2020,975,1325,1100
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,20/03/2020,900,1500,1250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,21/03/2020,925,1525,1250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,24/03/2020,1000,1400,1250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,27/03/2020,1500,1750,1600
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,28/03/2020,1250,1500,1400
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,30/03/2020,900,1350,1100
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,31/03/2020,950,1450,1200
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/01/2020,1000,1375,1200
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/02/2020,1000,1450,1250
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/04/2020,1300,1500,1400
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/06/2020,1400,1750,1550
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/07/2020,1350,1600,1500
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/08/2020,1150,1800,1450
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/09/2020,1400,1650,1550
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/10/2020,500,1250,850
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,04/11/2020,1300,1600,1450
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,13/04/2020,1250,1550,1400
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,14/04/2020,1400,1750,1550
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,15/04/2020,1300,1600,1400
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,16/04/2020,1200,1750,1400
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,17/04/2020,1200,1750,1550
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,18/04/2020,850,1600,1425
Gujarat,Rajkot,Rajkot(Ghee Peeth),Potato,Desi,20/04/2020,1300,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,20/02/2020,1000,1000,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,21/02/2020,900,1000,900
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,22/02/2020,1000,1000,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,24/02/2020,1000,1000,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,25/02/2020,1000,1000,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,26/02/2020,1000,1000,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,27/02/2020,1000,1000,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,28/02/2020,1000,1100,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,29/02/2020,1000,1150,1150
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/01/2020,1000,1200,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/02/2020,1000,1200,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/03/2020,1000,1100,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/04/2020,1000,1200,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/05/2020,1000,1200,1200
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/06/2020,1000,1300,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/07/2020,1000,1400,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/08/2020,1000,1400,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/09/2020,1000,1500,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/11/2020,1000,1400,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,03/12/2020,1000,1400,1000
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,13/03/2020,1000,1400,1400
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,14/03/2020,1500,1500,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,15/03/2020,1500,1500,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,16/03/2020,1500,1500,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,17/03/2020,1500,1600,1600
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,18/03/2020,1500,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,19/03/2020,1500,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,20/03/2020,1500,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,21/03/2020,1600,1700,1700
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,27/03/2020,1600,1700,1600
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,28/03/2020,1600,1700,1600
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,30/03/2020,1600,1700,1600
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,31/03/2020,1600,1600,1600
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/03/2020,1700,1700,1700
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/05/2020,1300,1600,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/06/2020,1300,1700,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/07/2020,1300,1600,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/08/2020,1300,1700,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/09/2020,1300,1600,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/10/2020,1300,1500,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/11/2020,1300,1600,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,04/12/2020,1300,1500,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,13/04/2020,1300,1500,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,14/04/2020,1300,1550,1300
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,15/04/2020,1400,1600,1400
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,16/04/2020,1500,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,17/04/2020,1500,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,18/04/2020,1500,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,19/04/2020,1500,1600,1500
Haryana,Yamuna Nagar,Chhachrauli,Potato,Potato,20/04/2020,1500,1600,1500
Himachal Pradesh,Solan,Solan,Potato,Other,20/02/2020,1000,1200,1200
Himachal Pradesh,Solan,Solan,Potato,Other,22/02/2020,1000,1200,1100
Himachal Pradesh,Solan,Solan,Potato,Other,24/02/2020,1000,1200,1100
Himachal Pradesh,Solan,Solan,Potato,Other,25/02/2020,1000,1200,1100
Himachal Pradesh,Solan,Solan,Potato,Other,26/02/2020,1000,1200,1100
Himachal Pradesh,Solan,Solan,Potato,Other,27/02/2020,1000,1700,1100
Himachal Pradesh,Solan,Solan,Potato,Other,28/02/2020,1000,1800,1200
Himachal Pradesh,Solan,Solan,Potato,Other,29/02/2020,1000,1500,1200
Himachal Pradesh,Solan,Solan,Potato,Other,03/03/2020,1200,1500,1400
Himachal Pradesh,Solan,Solan,Potato,Other,03/04/2020,1300,1500,1400
Himachal Pradesh,Solan,Solan,Potato,Other,03/05/2020,1300,1600,1400
Himachal Pradesh,Solan,Solan,Potato,Other,03/06/2020,1300,1600,1400
Himachal Pradesh,Solan,Solan,Potato,Other,03/07/2020,1300,1600,1400
Himachal Pradesh,Solan,Solan,Potato,Other,03/09/2020,1400,1600,1500
Himachal Pradesh,Solan,Solan,Potato,Other,03/11/2020,1400,1600,1500
Himachal Pradesh,Solan,Solan,Potato,Other,03/12/2020,1400,1800,1600
Himachal Pradesh,Solan,Solan,Potato,Other,13/03/2020,1500,1800,1600
Himachal Pradesh,Solan,Solan,Potato,Other,16/03/2020,1600,1800,1700
Himachal Pradesh,Solan,Solan,Potato,Other,17/03/2020,1600,1800,1700
Himachal Pradesh,Solan,Solan,Potato,Other,18/03/2020,1600,1800,1700
Himachal Pradesh,Solan,Solan,Potato,Other,19/03/2020,1600,1800,1700
Himachal Pradesh,Solan,Solan,Potato,Other,20/03/2020,1600,1700,1600
Himachal Pradesh,Solan,Solan,Potato,Other,23/03/2020,1800,2000,2000
Himachal Pradesh,Solan,Solan,Potato,Other,26/03/2020,2000,2500,2400
Himachal Pradesh,Solan,Solan,Potato,Other,30/03/2020,1800,2200,2000
Himachal Pradesh,Solan,Solan,Potato,Other,04/02/2020,1800,2200,2000
Himachal Pradesh,Solan,Solan,Potato,Other,04/03/2020,1800,2300,2200
Himachal Pradesh,Solan,Solan,Potato,Other,04/04/2020,1800,2300,2200
Himachal Pradesh,Solan,Solan,Potato,Other,04/05/2020,1800,2300,2200
Himachal Pradesh,Solan,Solan,Potato,Other,04/06/2020,1800,2300,2200
Himachal Pradesh,Solan,Solan,Potato,Other,04/07/2020,1800,2300,2200
Himachal Pradesh,Solan,Solan,Potato,Other,04/08/2020,1800,2300,2200
Himachal Pradesh,Solan,Solan,Potato,Other,04/09/2020,1800,2300,2200
Himachal Pradesh,Solan,Solan,Potato,Other,04/11/2020,1600,1800,1700
Himachal Pradesh,Solan,Solan,Potato,Other,04/12/2020,1500,1600,1600
Himachal Pradesh,Solan,Solan,Potato,Other,13/04/2020,1600,1700,1600
Himachal Pradesh,Solan,Solan,Potato,Other,14/04/2020,1600,1800,1700
Himachal Pradesh,Solan,Solan,Potato,Other,16/04/2020,1400,1600,1500
Himachal Pradesh,Solan,Solan,Potato,Other,17/04/2020,1400,1500,1500
Himachal Pradesh,Solan,Solan,Potato,Other,18/04/2020,1200,1500,1400
Himachal Pradesh,Solan,Solan,Potato,Other,19/04/2020,1300,1700,1500
Himachal Pradesh,Solan,Solan,Potato,Other,20/04/2020,1200,1600,1500
Jharkhand,Ranchi,Khunti,Potato,Other,22/02/2020,1450,1850,1650
Jharkhand,Ranchi,Khunti,Potato,Other,28/02/2020,1450,1850,1650
Jharkhand,Ranchi,Khunti,Potato,Other,03/04/2020,1450,1850,1650
Jharkhand,Ranchi,Khunti,Potato,Other,03/05/2020,1450,1850,1650
Jharkhand,Ranchi,Khunti,Potato,Other,03/06/2020,1450,1850,1650
Jharkhand,Ranchi,Khunti,Potato,Other,03/08/2020,1400,1800,1600
Jharkhand,Ranchi,Khunti,Potato,Other,03/11/2020,1400,1800,1600
Jharkhand,Ranchi,Khunti,Potato,Other,03/12/2020,1450,1850,1650
Jharkhand,Ranchi,Khunti,Potato,Other,14/03/2020,1400,1800,1600
Jharkhand,Ranchi,Khunti,Potato,Other,15/03/2020,1450,1850,1650
Jharkhand,Ranchi,Khunti,Potato,Other,17/03/2020,1400,1800,1600
Jharkhand,Ranchi,Khunti,Potato,Other,20/03/2020,1470,1870,1670
Jharkhand,Ranchi,Khunti,Potato,Other,21/03/2020,1600,2000,1800
Jharkhand,Ranchi,Khunti,Potato,Other,26/03/2020,1850,2250,2050
Jharkhand,Ranchi,Khunti,Potato,Other,27/03/2020,1750,1950,1850
Jharkhand,Ranchi,Khunti,Potato,Other,28/03/2020,1800,2000,1900
Jharkhand,Ranchi,Khunti,Potato,Other,29/03/2020,2450,2850,2650
Jharkhand,Ranchi,Khunti,Potato,Other,31/03/2020,1800,2200,2000
Jharkhand,Ranchi,Khunti,Potato,Other,04/01/2020,1800,2200,2000
Jharkhand,Ranchi,Khunti,Potato,Other,04/03/2020,1800,2200,2000
Jharkhand,Ranchi,Khunti,Potato,Other,04/04/2020,1800,2200,2000
Jharkhand,Ranchi,Khunti,Potato,Other,04/06/2020,1800,2200,2000
Jharkhand,Ranchi,Khunti,Potato,Other,04/09/2020,1600,2000,1800
Jharkhand,Ranchi,Khunti,Potato,Other,04/10/2020,1650,2050,1850
Jharkhand,Ranchi,Khunti,Potato,Other,13/04/2020,1600,2000,1800
Jharkhand,Ranchi,Khunti,Potato,Other,17/04/2020,1450,1650,1550
Jharkhand,Ranchi,Khunti,Potato,Other,19/04/2020,1600,2000,1800
Karnataka,Kolar,Malur,Potato,Potato,20/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,24/02/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,25/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,26/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,27/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,28/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,29/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/04/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/05/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/06/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/07/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/09/2020,1700,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/10/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,03/11/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,03/12/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,13/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,16/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,17/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,18/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,19/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,20/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,21/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,22/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,23/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,24/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,26/03/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,30/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,31/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/01/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/02/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/03/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/04/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/05/2020,1900,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,04/06/2020,1900,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/07/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,04/08/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,04/09/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/10/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,04/11/2020,1800,2300,2024
Karnataka,Kolar,Malur,Potato,Potato,04/12/2020,1800,2700,2634
Karnataka,Kolar,Malur,Potato,Potato,13/04/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,14/04/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,15/04/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,16/04/2020,1800,2400,2000
Karnataka,Kolar,Malur,Potato,Potato,17/04/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,18/04/2020,1800,2200,2000
Karnataka,Kolar,Malur,Potato,Potato,19/04/2020,1800,2300,2000
Karnataka,Kolar,Malur,Potato,Potato,20/04/2020,1800,2300,2000
Kerala,Thirssur,Wadakkanchery,Potato,Potato,24/02/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,25/02/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,26/02/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,27/02/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,28/02/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,29/02/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/01/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/02/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/03/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/04/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/05/2020,3000,3200,3200
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/07/2020,2800,3000,3000
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/08/2020,2800,3000,3000
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/09/2020,2800,3000,3000
Kerala,Thirssur,Wadakkanchery,Potato,Potato,03/10/2020,2800,3000,3000
