state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,20/02/2020,500,700,600
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,21/02/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,22/02/2020,600,700,650
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,23/02/2020,600,700,650
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,24/02/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,25/02/2020,300,350,300
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,26/02/2020,500,800,600
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,27/02/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,28/02/2020,400,500,450
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,29/02/2020,300,400,350
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,02/03/2020,300,400,350
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,03/03/2020,300,450,350
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,04/03/2020,300,400,350
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,05/03/2020,200,300,250
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,06/03/2020,250,300,250
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,07/03/2020,250,300,250
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,08/03/2020,250,300,250
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,09/03/2020,200,300,250
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,12/03/2020,400,600,500
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,13/03/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,14/03/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,15/03/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,16/03/2020,600,650,600
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,17/03/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,18/03/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,19/03/2020,500,600,550
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,20/03/2020,800,1200,1000
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,21/03/2020,600,800,700
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,31/03/2020,1000,1100,1000
Chattisgarh,Bilaspur,Tiphra,Tomato,Other,02/04/2020,400,600,500
