State,Wk1(feb 20-26),Wk2(feb 27-4march),Wk3(march 5 - 11),Wk4(mar12-18),Wk5(mar19-25),Wk6(mar26-1april),wk7 (april 2-8),Wk8 (april 9-15)
Chattisgarh,557.1428571,400,250,550,750,1000,550,662.5
Gujarat,520,430,415,450,600,670,593.75,700
Haryana,1171.428571,960,880,1020,1200,1540,1560,1514.285714
Himachal Pradesh,1600,1500,1420,1740,2200,3066.666667,2125,2300
Jharkhand,1650,1650,1662.5,1633.333333,2225,2266.666667,1450,1633.333333
Karnataka,541.6666667,541.6666667,800,750,1083.333333,875,564.2857143,564.2857143
Kerala,2214.285714,2060,2128.571429,2114.285714,2085.714286,3350,2500,1916.666667
Madhya Pradesh,863.8333333,516.5,733.25,516.5,566,533.3333333,766.5,800
Odisha,1160,1058.333333,884,518.3333333,600,928.5714286,1014.285714,1078.571429
Punjab,641.6666667,641.6666667,616.6666667,683.3333333,1017.5,1233.333333,1425,1280
Rajasthan,792.8571429,750,700,683.3333333,583.3333333,910,1114.285714,1033.333333
Tripura,2060,1870,2150,1900,1770,1818,2130,2086.666667
Uttar Pradesh,951,953.3333333,995,1020,883.3333333,1575,1271.428571,1318.571429
Uttrakhand,1358.333333,1166.666667,1210,983.3333333,1537.5,1400,1600,2800
West Bengal,500,428.5714286,628.5714286,500,550,671.4285714,575,1142.857143
