State,Wk1(feb 20-26),Wk2(feb 27-4march),Wk3(march 5 - 11),Wk4(mar12-18),Wk5(mar19-25),Wk6(mar26-1april),wk7 (april 2-8),Wk8 (april 9-15)
Chattisgarh,1000,733.3333333,862.5,910,1050,1600,1875,1983.333333
Gujarat,595.8333333,616.6666667,356.25,525,625,841.6666667,1200,1567.857143
Haryana,1114.285714,1280,1280,1460,1500,1260,860,1000
Himachal Pradesh,920,1316.666667,1540,1580,1400,1300,1814.285714,1680
Jharkhand,2800,2850,2712.5,2440,3266.666667,2766.666667,2412.5,2400
Karnataka,383.3333333,466.6666667,733.3333333,800,812.5,860,1108.333333,1100
Kerala,3742.857143,3080,3142.857143,3142.857143,3085.714286,3525,3257.142857,3400
Madhya Pradesh,1713.714286,1872.833333,1730.666667,1829.333333,1694.833333,1971.857143,1881.285714,1880.428571
Odisha,2500,2540,2200,2233.333333,2666.666667,2933.333333,2750,2300
Punjab,861.4285714,900,1314.285714,1557.142857,1320,1650,1640,1971.428571
Rajasthan,658.3333333,716.6666667,800,1064.285714,1400,990,,1500
Tripura,2728.571429,2328.571429,1957.142857,1971.428571,1880,2050,1525,2775
Uttar Pradesh,888.3333333,831.6666667,825,945,957.5,1033.333333,961.6666667,991.6666667
Uttrakhand,550,600,620,583.3333333,670,1112.5,966.6666667,880
West Bengal,457.1428571,397.8571429,308.3333333,239.2857143,390,574.2857143,550,470
