"","city","date","parameter","value"
"1","Delhi",2020-05-05,"no2",20.9820559440559
"2","Delhi",2020-05-04,"no2",19.4100857843137
"3","Delhi",2020-05-03,"no2",15.7518081761006
"4","Delhi",2020-05-02,"no2",14.7964889705882
"5","Delhi",2020-05-01,"no2",16.0912794612795
"6","Delhi",2020-04-30,"no2",19.1700844854071
"7","Delhi",2020-04-29,"no2",13.8924162011173
"8","Delhi",2020-04-28,"no2",15.9047389162562
"9","Delhi",2020-04-27,"no2",11.9630398517145
"10","Delhi",2020-04-26,"no2",13.0130475504323
"11","Delhi",2020-04-25,"no2",17.2075
"12","Delhi",2020-04-24,"no2",16.9817843866171
"13","Delhi",2020-04-23,"no2",22.0235880640466
"14","Delhi",2020-04-22,"no2",23.0864503518374
"15","Delhi",2020-04-21,"no2",18.8674509803922
"16","Delhi",2020-04-20,"no2",17.9014437469821
"17","Delhi",2020-04-19,"no2",23.5007216494845
"18","Delhi",2020-04-18,"no2",13.7881085814361
"19","Delhi",2020-04-17,"no2",13.4967770419426
"20","Delhi",2020-04-16,"no2",18.5660139251523
"21","Delhi",2020-04-15,"no2",25.9130865541644
"22","Delhi",2020-04-14,"no2",23.7455899339934
"23","Delhi",2020-04-13,"no2",21.6252536687631
"24","Delhi",2020-04-12,"no2",19.0352274479568
"25","Delhi",2020-04-11,"no2",17.634224353628
"26","Delhi",2020-04-10,"no2",29.2166317991632
"27","Delhi",2020-04-09,"no2",36.6221717791411
"28","Delhi",2020-04-08,"no2",20.0021496815287
"29","Delhi",2020-04-07,"no2",16.6933011413521
"30","Delhi",2020-04-06,"no2",19.5171479820628
"31","Delhi",2020-04-05,"no2",21.1537168560606
"32","Delhi",2020-04-04,"no2",20.5641304347826
"33","Delhi",2020-04-03,"no2",18.790504
"34","Delhi",2020-04-02,"no2",14.0781662489557
"35","Delhi",2020-04-01,"no2",16.0266606660666
"36","Delhi",2020-03-31,"no2",16.2226300211417
"37","Delhi",2020-03-30,"no2",17.6431800088456
"38","Delhi",2020-03-29,"no2",14.0989268292683
